policy_id,scenario,sample_count,dense_prefill_nll,dense_decode_nll,prefill_nll,decode_nll,delta_prefill_nll,delta_decode_nll,target_delta_nll,prefill_tokens,decode_tokens
p00,prefill_only,300,2.350129025619931,2.0532674334528673,2.350129025619931,2.0532674334528673,0.0,0.0,0.0,127116,15346
p01,prefill_only,300,2.350129025619931,2.0532674334528673,2.374472358430166,2.0532674334528673,0.02434333281023493,0.0,0.02434333281023493,127116,15346
p02,prefill_only,300,2.350129025619931,2.0532674334528673,2.6565927129593216,2.0532674334528673,0.30646368733939067,0.0,0.30646368733939067,127116,15346
p03,prefill_only,300,2.350129025619931,2.0532674334528673,3.446670557434606,2.0532674334528673,1.0965415318146752,0.0,1.0965415318146752,127116,15346
p04,prefill_only,300,2.350129025619931,2.0532674334528673,2.374472358430166,2.0532674334528673,0.02434333281023493,0.0,0.02434333281023493,127116,15346
p05,prefill_only,300,2.350129025619931,2.0532674334528673,2.4952667319394632,2.0532674334528673,0.14513770631953227,0.0,0.14513770631953227,127116,15346
p06,prefill_only,300,2.350129025619931,2.0532674334528673,2.429413457593375,2.0532674334528673,0.07928443197344404,0.0,0.07928443197344404,127116,15346
p07,prefill_only,300,2.350129025619931,2.0532674334528673,2.4760664527518785,2.0532674334528673,0.12593742713194755,0.0,0.12593742713194755,127116,15346
p08,prefill_only,300,2.350129025619931,2.0532674334528673,2.3931892464881823,2.0532674334528673,0.04306022086825134,0.0,0.04306022086825134,127116,15346
p09,prefill_only,300,2.350129025619931,2.0532674334528673,2.439439460799769,2.0532674334528673,0.08931043517983817,0.0,0.08931043517983817,127116,15346
p10,prefill_only,300,2.350129025619931,2.0532674334528673,2.4471357656420243,2.0532674334528673,0.09700674002209331,0.0,0.09700674002209331,127116,15346
p11,prefill_only,300,2.350129025619931,2.0532674334528673,2.4673740698222213,2.0532674334528673,0.11724504420229032,0.0,0.11724504420229032,127116,15346
p12,prefill_only,300,2.350129025619931,2.0532674334528673,2.4220234801798592,2.0532674334528673,0.07189445455992827,0.0,0.07189445455992827,127116,15346
p13,prefill_only,300,2.350129025619931,2.0532674334528673,2.4441606698122773,2.0532674334528673,0.09403164419234633,0.0,0.09403164419234633,127116,15346
p14,prefill_only,300,2.350129025619931,2.0532674334528673,2.4363883792830743,2.0532674334528673,0.0862593536631433,0.0,0.0862593536631433,127116,15346
p15,prefill_only,300,2.350129025619931,2.0532674334528673,2.407997590854284,2.0532674334528673,0.05786856523435313,0.0,0.05786856523435313,127116,15346
p16,prefill_only,300,2.350129025619931,2.0532674334528673,2.4216306435461292,2.0532674334528673,0.07150161792619825,0.0,0.07150161792619825,127116,15346
p17,prefill_only,300,2.350129025619931,2.0532674334528673,2.488517922321873,2.0532674334528673,0.138388896701942,0.0,0.138388896701942,127116,15346
p18,prefill_only,300,2.350129025619931,2.0532674334528673,2.424256831719834,2.0532674334528673,0.0741278060999031,0.0,0.0741278060999031,127116,15346
p19,prefill_only,300,2.350129025619931,2.0532674334528673,2.4197342676146936,2.0532674334528673,0.06960524199476259,0.0,0.06960524199476259,127116,15346
p20,prefill_only,300,2.350129025619931,2.0532674334528673,2.46028017816934,2.0532674334528673,0.11015115254940921,0.0,0.11015115254940921,127116,15346
p21,prefill_only,300,2.350129025619931,2.0532674334528673,2.457565619716778,2.0532674334528673,0.10743659409684714,0.0,0.10743659409684714,127116,15346
p22,prefill_only,300,2.350129025619931,2.0532674334528673,2.4406756284594846,2.0532674334528673,0.09054660283955362,0.0,0.09054660283955362,127116,15346
p23,prefill_only,300,2.350129025619931,2.0532674334528673,2.387262507192311,2.0532674334528673,0.037133481572380056,0.0,0.037133481572380056,127116,15346
p24,prefill_only,300,2.350129025619931,2.0532674334528673,2.4434950454122766,2.0532674334528673,0.0933660197923456,0.0,0.0933660197923456,127116,15346
p25,prefill_only,300,2.350129025619931,2.0532674334528673,2.4201200769660254,2.0532674334528673,0.0699910513460944,0.0,0.0699910513460944,127116,15346
p26,prefill_only,300,2.350129025619931,2.0532674334528673,2.4740295338133267,2.0532674334528673,0.12390050819339571,0.0,0.12390050819339571,127116,15346
p27,prefill_only,300,2.350129025619931,2.0532674334528673,2.4856806230228443,2.0532674334528673,0.13555159740291334,0.0,0.13555159740291334,127116,15346
p28,prefill_only,300,2.350129025619931,2.0532674334528673,2.376969420679933,2.0532674334528673,0.02684039506000202,0.0,0.02684039506000202,127116,15346
p29,prefill_only,300,2.350129025619931,2.0532674334528673,2.432131195380459,2.0532674334528673,0.08200216976052799,0.0,0.08200216976052799,127116,15346
