method,variant,split,rows,pearson,spearman,mae,rmse
sparse_bf16,local_only,train,56,0.9700937459971701,0.9258373205741627,0.03734681346543652,0.04292532849076783
sparse_bf16,local_only,holdout,24,0.9425617950001312,0.9017391304347825,0.042451116776325425,0.0503130354396418
sparse_bf16,local_only,all,80,0.961972994912769,0.9276371308016877,0.03887810445870319,0.04526841215211135
sparse_bf16,local_layer,train,56,0.9711140270019402,0.9309637730690362,0.03672739698432174,0.04203050150683166
sparse_bf16,local_layer,holdout,24,0.9484856097611843,0.9165217391304347,0.046530430777236724,0.054683682379791626
sparse_bf16,local_layer,all,80,0.9624461087817027,0.9328410689170183,0.03966830712219623,0.046191835592723794
sparse_bf16,local_type,train,56,0.9701244594462146,0.9212576896787422,0.036149134478200735,0.041129517761549425
sparse_bf16,local_type,holdout,24,0.9379197641658122,0.9191304347826086,0.043038135051895424,0.051672793851749194
sparse_bf16,local_type,all,80,0.9597627985112899,0.9246601031411158,0.038215834650309144,0.04455523930181429
sparse_bf16,final_layer_type,train,56,0.9699887329716159,0.9236500341763499,0.03582771541219992,0.04041998010060016
sparse_bf16,final_layer_type,holdout,24,0.9424741541839589,0.9199999999999999,0.04717764976327088,0.056050280847931205
sparse_bf16,final_layer_type,all,80,0.9586303764144524,0.9238162212845756,0.039232695717521214,0.045674200035387906
dense_nvfp4,local_only,train,56,0.8025650513705268,0.8544087491455912,0.03576530744033465,0.040706862401232995
dense_nvfp4,local_only,holdout,24,0.8295510998871138,0.806086956521739,0.03578558330972162,0.04057552255273074
dense_nvfp4,local_only,all,80,0.8144504450562567,0.8566104078762307,0.03577139020115074,0.04066750498512529
dense_nvfp4,local_layer,train,56,0.8084379739444532,0.8581681476418318,0.03559239867622822,0.04042306066732826
dense_nvfp4,local_layer,holdout,24,0.8234247695206058,0.8017391304347825,0.036368199825458226,0.041321882652570835
dense_nvfp4,local_layer,all,80,0.8167554341191897,0.8575480543834975,0.03582513902099722,0.04069479179681352
dense_nvfp4,local_type,train,56,0.8007946099249771,0.8302118933697882,0.03477813915486227,0.039410138623877045
dense_nvfp4,local_type,holdout,24,0.8325401460725731,0.8182608695652173,0.03589502919915184,0.04090531650866209
dense_nvfp4,local_type,all,80,0.8149426893766606,0.8366619784341304,0.03511320616814914,0.0398645806957679
dense_nvfp4,final_layer_type,train,56,0.8069414614110537,0.8369788106630212,0.03456065509982669,0.039115504549433674
dense_nvfp4,final_layer_type,holdout,24,0.8287048203594123,0.7930434782608695,0.03640059697081622,0.041492334624783606
dense_nvfp4,final_layer_type,all,80,0.8179830250708847,0.8334036568213784,0.035112637661123554,0.03984344409177301
dense_nvfp4,dense_calibrated_reference,train,56,0.823098943818783,0.8685577580314422,0.0070731263654654165,0.00948198262798683
dense_nvfp4,dense_calibrated_reference,holdout,24,0.8541508017137527,0.8765217391304347,0.007534864188055691,0.009639003594816627
dense_nvfp4,dense_calibrated_reference,all,80,0.8366455891483642,0.8725738396624473,0.007211647712242498,0.00952936059137638
sparse_nvfp4,local_only,train,56,0.9433534915196576,0.9258373205741627,0.05303017566287178,0.0653705770487154
sparse_nvfp4,local_only,holdout,24,0.9318132387575587,0.9278260869565217,0.05722617637378557,0.07347939080185234
sparse_nvfp4,local_only,all,80,0.9399585951417807,0.9281059540553213,0.054288975876145916,0.06790496964406088
sparse_nvfp4,local_layer,train,56,0.959403116616807,0.9376623376623376,0.04887041831267235,0.057798475816201095
sparse_nvfp4,local_layer,holdout,24,0.934291865636508,0.94,0.06148327555847412,0.07569700931609882
sparse_nvfp4,local_layer,all,80,0.9512701507229137,0.9398968588842007,0.05265427548641288,0.06369831889848941
sparse_nvfp4,local_type,train,56,0.9477959242680122,0.938550922761449,0.051655599568352265,0.062002448499081535
sparse_nvfp4,local_type,holdout,24,0.9390577184109684,0.9278260869565217,0.054233005501635886,0.07072637802847388
sparse_nvfp4,local_type,all,80,0.9455249912546463,0.944045944678856,0.05242882134833735,0.06474317491925198
sparse_nvfp4,final_layer_type,train,56,0.963673378483875,0.9553656869446343,0.04615680074074336,0.05412550898550312
sparse_nvfp4,final_layer_type,holdout,24,0.9436672159176009,0.957391304347826,0.05676597063806135,0.07180359105976651
sparse_nvfp4,final_layer_type,all,80,0.9573424746111128,0.9552977027660572,0.049339551709938756,0.05997854793825289
