batch_size,point_index,quality_budget,quality_cost,latency_ms,dense_latency_ms,speedup_vs_dense_linear,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4
4,0,0.0,0.0,274.9235080681674,274.9235080681674,1.0,224,0,0,0
4,1,0.00015836173143936267,7.867094485375215e-05,273.02885853447754,274.9235080681674,1.006939374628234,222,0,2,0
4,2,0.00020095486159070271,0.00014523798338335673,272.0815337676326,274.9235080681674,1.0104453038807182,221,0,3,0
4,4,0.00032358998287327284,0.0001139586564555547,271.1342090007877,274.9235080681674,1.0139757320971943,220,0,4,0
4,5,0.00041062306928195906,0.00018052569498515928,270.18688423394275,274.9235080681674,1.017530916971245,219,0,5,0
4,6,0.0005210646619199259,0.00029943670361400905,269.02323626785613,274.9235080681674,1.0219322014044787,218,1,5,0
4,7,0.0006612107361052634,0.0004474953813277847,267.8595883017695,274.9235080681674,1.0263717263629917,217,2,5,0
4,8,0.0008390506389935353,0.0005288614107387823,266.91226353492465,274.9235080681674,1.0300145239755703,216,2,6,0
4,9,0.0010647225405659227,0.000698676384857541,265.5680557680797,274.9235080681674,1.0352280784412482,214,2,8,0
4,10,0.0013510913831720317,0.0007381929849887136,263.9805237680797,274.9235080681674,1.0414537562994672,210,2,12,0
4,11,0.0017144822769615178,0.001090332968236302,262.0501108359065,274.9235080681674,1.0491257080227763,209,4,11,0
4,12,0.002175611150086711,0.0014160666498088028,259.79754386981983,274.9235080681674,1.058222121629937,205,7,12,0
4,13,0.0027607657075173495,0.0019618879115618467,257.4702479376466,274.9235080681674,1.0677874832930117,203,9,12,0
4,14,0.003503304021722814,0.002592147083497788,254.4509160054734,274.9235080681674,1.0804579224318989,199,13,12,0
4,15,0.004445556185807598,0.003406817244798025,250.95997210721356,274.9235080681674,1.0954874825644159,196,16,12,0
4,16,0.005641237437181772,0.004465858787942375,246.3053802428671,274.9235080681674,1.1161896171211594,192,20,12,0
4,17,0.007158510317394619,0.005920100758854288,241.12421057776234,274.9235080681674,1.1401738025784218,186,24,14,0
4,18,0.009083870433548996,0.007706505242066742,235.08964754808756,274.9235080681674,1.1694411512184169,181,30,13,0
4,19,0.011527077338003762,0.010101233379979946,227.55731798472297,274.9235080681674,1.2081505903783958,175,36,13,0
4,20,0.014627411622427474,0.013113495783253408,218.24813425603006,274.9235080681674,1.2596831996082525,167,44,13,0
4,21,0.0185616149261457,0.016960000805045606,208.19604952733712,274.9235080681674,1.3205030003802674,157,53,14,0
4,22,0.02355396549709852,0.021806354611496288,195.60465928789102,274.9235080681674,1.4055059274612414,143,67,14,0
4,23,0.02988906368578077,0.027131626150539212,180.94630932180442,274.9235080681674,1.5193651039283094,103,107,14,0
4,24,0.037928056238458276,0.03494255198669865,164.4629609906639,274.9235080681674,1.6716439155183034,84,122,18,0
4,25,0.048129224292563375,0.04433868208309463,148.82214802128505,274.9235080681674,1.8473292565891934,56,145,23,0
4,26,0.06107410873998516,0.057408830303067974,136.78407914394322,274.9235080681674,2.0099086808111246,32,151,41,0
4,27,0.07750066229427832,0.07383991934596729,125.71350069958652,274.9235080681674,2.1869051974389224,3,166,55,0
4,28,0.09834531817112577,0.09647229142824525,118.45106423102017,274.9235080681674,2.320988079363916,0,77,115,32
4,29,0.12479637360330023,0.1222827479006417,113.0405217624538,274.9235080681674,2.432079256020231,0,1,159,64
4,30,0.15836173143936266,0.12290974999584213,112.9896567624538,274.9235080681674,2.4331741147436055,0,0,160,64
