module_name,module_index,layer,module_type,module_family,linear_group,n,k,selected_method,quality_cost,latency_cost,prefill_ms,decode_ms,conversion_ms,decode_backend,output_tokens
model.layers.13.mlp.down_proj,98,13,down_proj,mlp,mlp.down_proj,4096,14336,dense_nvfp4_prefill_marlin_decode,0.12456213323460816,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,marlin_nvfp4,256
model.layers.14.self_attn.q_proj,99,14,q_proj,attention,self_attn.q_proj,4096,4096,marlin_nvfp4,0.02463421420478529,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.14.self_attn.k_proj,100,14,k_proj,attention,self_attn.k_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.14.self_attn.v_proj,101,14,v_proj,attention,self_attn.v_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.14.self_attn.o_proj,102,14,o_proj,attention,self_attn.o_proj,4096,4096,dense_bf16,0.0,11.987597999999998,2.441358,0.03729,0.0,dense_bf16,256
model.layers.14.mlp.gate_proj,103,14,gate_proj,mlp,mlp.gate_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.03337283132046517,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.14.mlp.up_proj,104,14,up_proj,mlp,mlp.up_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.09452641892459263,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.14.mlp.down_proj,105,14,down_proj,mlp,mlp.down_proj,4096,14336,dense_nvfp4_prefill_marlin_decode,0.12672578977024984,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,marlin_nvfp4,256
model.layers.15.self_attn.q_proj,106,15,q_proj,attention,self_attn.q_proj,4096,4096,marlin_nvfp4,0.023517830926309557,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.15.self_attn.k_proj,107,15,k_proj,attention,self_attn.k_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.15.self_attn.v_proj,108,15,v_proj,attention,self_attn.v_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.15.self_attn.o_proj,109,15,o_proj,attention,self_attn.o_proj,4096,4096,dense_bf16,0.0,11.987597999999998,2.441358,0.03729,0.0,dense_bf16,256
model.layers.15.mlp.gate_proj,110,15,gate_proj,mlp,mlp.gate_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.03215455018429386,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.15.mlp.up_proj,111,15,up_proj,mlp,mlp.up_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.09583145482857794,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.15.mlp.down_proj,112,15,down_proj,mlp,mlp.down_proj,4096,14336,dense_nvfp4_prefill_marlin_decode,0.1230732974260237,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,marlin_nvfp4,256
model.layers.16.self_attn.q_proj,113,16,q_proj,attention,self_attn.q_proj,4096,4096,marlin_nvfp4,0.023715346271562313,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.16.self_attn.k_proj,114,16,k_proj,attention,self_attn.k_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.16.self_attn.v_proj,115,16,v_proj,attention,self_attn.v_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.16.self_attn.o_proj,116,16,o_proj,attention,self_attn.o_proj,4096,4096,dense_bf16,0.0,11.987597999999998,2.441358,0.03729,0.0,dense_bf16,256
