m,n,k,latency_ms,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,samples,tflops,latency_q25_ms,latency_q75_ms,latency_iqr_ms,flops,bytes_bf16,arithmetic_intensity
16384,4096,4096,1.33423,1.33423,0.0,1.33423,1.33423,1,412.039886,1.33423,1.33423,0.0,549755813888.0,301989888.0,1820.4444444444443
16384,4096,14336,4.666172,4.666172,0.0,4.666172,4.666172,1,412.360571,4.666172,4.666172,0.0,1924145348608.0,721420288.0,2667.1627906976746
16384,6144,4096,2.037634,2.037634,0.0,2.037634,2.037634,1,404.701672,2.037634,2.037634,0.0,824633720832.0,385875968.0,2137.0434782608695
16384,28672,4096,9.616334,9.616334,0.0,9.616334,9.616334,1,400.182703,9.616334,9.616334,0.0,3848290697216.0,1308622848.0,2940.7179487179487
