group,rank,candidate,projected_total_ms,prefill_group_ms,decode_first_group_ms,decode_steady_group_ms
mlp.down_proj,1,marlin_nvfp4,393.5804464941224,201.07608540852866,0.9259200096130371,0.751288004219532
mlp.down_proj,2,dense_nvfp4_prefill_marlin_decode,419.4315495764216,162.49275716145834,23.49955177307129,0.9154480025172234
mlp.down_proj,3,dense_bf16,759.7690190970898,207.93966674804688,23.10419273376465,2.0734319984912872
mlp.gate_proj,1,dense_nvfp4_prefill_marlin_decode,347.12788919359446,88.92115020751953,23.414976119995117,0.9207520112395287
mlp.gate_proj,2,marlin_nvfp4,407.75007808208466,212.13560485839844,1.0178560018539429,0.7631239891052246
mlp.gate_proj,3,dense_bf16,673.438976575931,198.52383931477866,1.9207359552383423,1.854880005121231
mlp.up_proj,1,dense_nvfp4_prefill_marlin_decode,347.61635822057724,88.95709991455078,23.3156795501709,0.9229159951210022
mlp.up_proj,2,marlin_nvfp4,405.77689254780614,209.61035664876303,0.9976959824562073,0.7653679996728897
mlp.up_proj,3,dense_bf16,674.0283027788004,198.76744588216147,2.1256959438323975,1.855432003736496
self_attn.o_proj,1,marlin_nvfp4,270.0893794943889,76.45570119222005,0.8648959994316101,0.7559560090303421
self_attn.o_proj,2,dense_bf16,285.4879020353158,78.18146260579427,1.2195199728012085,0.8081839978694916
self_attn.o_proj,3,dense_nvfp4_prefill_marlin_decode,325.7432493045926,62.50071334838867,30.056255340576172,0.9144560024142265
self_attn.q_proj,1,marlin_nvfp4,269.9197444245219,76.39714050292969,0.819104015827179,0.7556999996304512
self_attn.q_proj,2,dense_bf16,285.4128586401542,78.11922200520833,0.8303359746932983,0.8096600025892258
self_attn.q_proj,3,dense_nvfp4_prefill_marlin_decode,317.65182810773456,62.51196797688802,21.88319969177246,0.914732001721859
