method,policy_id,e2e_median_ms,ttft_median_ms,tpot_ms,speedup_vs_dense_bf16,cnn_dm_rougeL_percent,dsum_rougeL_percent,iwslt_sacre_bleu,task_status,source
dense_bf16,p00,2291.8431889265776,1096.9024114310741,18.967313928500054,1.0,23.670921942521996,21.6884274989806,19.295782920893743,measured,056 uniform_baselines.csv + task_pareto_points.csv
dense_nvfp4,p01,2853.9937417954206,668.0662240833044,34.69726218590661,0.8030302082879833,24.27316709602392,20.592439983847946,16.83504400661571,measured,056 uniform_baselines.csv + task_pareto_points.csv
sparse_bf16,p02,2020.7710321992636,701.8477842211723,20.935289650445892,1.134142934755106,15.349945589337494,13.539484283644915,3.8998158055250642,measured,056 uniform_baselines.csv + task_pareto_points.csv
sparse_nvfp4_legal_projection,p03,2991.4962239563465,679.0295671671629,36.70581994903466,0.7661193654777688,15.962787138114637,13.567922075997425,1.5693388566955395,measured,"056 uniform primary-task backfill; prefill sparse NVFP4; decode dense NVFP4 because sparse NVFP4 is unsupported at M=8"
w4a16_marlin,p04,1925.8346650749445,1128.2217893749475,12.660521836507888,1.1900518930774309,23.72770188944053,21.76969829405863,18.852325632410853,measured,056 uniform primary-task backfill
