policy_id,quality_budget,predicted_delta_nll,raw_predicted_linear_ms,prefill_count_dense_bf16,prefill_count_dense_nvfp4,prefill_count_sparse_bf16,prefill_count_sparse_nvfp4,prefill_count_w4a16_ours,decode_count_dense_bf16,decode_count_dense_nvfp4,decode_count_sparse_bf16,decode_count_sparse_nvfp4,decode_count_w4a16_ours,raw_speedup_vs_dense
b8o64000,0.0,0.0,1693.7273400708102,128,0,0,0,0,128,0,0,0,0,1.0
b8o64001,0.01,0.00048125893935449965,1618.7090769002793,123,5,0,0,0,123,0,0,0,5,1.046344500220006
b8o64002,0.02,0.0009066674968803757,1543.6908137297485,118,10,0,0,0,118,0,0,0,10,1.0971933790151636
b8o64003,0.04,0.0018632991789123028,1393.6542873886867,108,20,0,0,0,108,0,0,0,20,1.2153138374398254
b8o64004,0.07,0.006002522399425643,1188.954801619378,93,32,0,3,0,93,0,0,0,35,1.4245514949465892
b8o64005,0.1,0.01802637583983648,1065.6765308192055,78,32,0,18,0,78,0,0,0,50,1.5893446942749225
b8o64006,0.15,0.03646033170064827,881.55555715933,53,32,11,32,0,53,0,0,0,75,1.9212939290276523
b8o64007,0.22,0.074467094894349,742.611166507148,26,32,38,32,0,32,0,0,0,96,2.280772787241016
b8o64008,0.32,0.1747028104033382,688.4135072714631,0,8,64,56,0,32,0,0,0,96,2.4603342644799677
b8o64009,0.45,0.19306166188909027,680.6034335262348,0,0,64,64,0,32,0,0,0,96,2.488567140038566
