policy_id,dataset,samples,predicted_delta_nll,measured_delta_nll,measured_speedup_vs_dense,raw_predicted_speedup_vs_dense,rougeL_percent,bert_score_percent,sacre_bleu,empty_predictions
b8o64000,cnn_dm_1000,1000,0.0,,1.0,1.0,23.61032474800552,87.18523595929146,,0
b8o64000,dsum,1500,0.0,,1.0,1.0,21.598181660389766,87.15889004866281,,0
b8o64000,IWSLT,333,0.0,,1.0,1.0,46.908911718967225,,19.411758651336964,0
b8o64003,cnn_dm_1000,1000,0.0018632991789123028,,1.039736542086927,1.2153138374398254,23.9272874575251,87.22371274232864,,0
b8o64003,dsum,1500,0.0018632991789123028,,1.039736542086927,1.2153138374398254,21.55216240817209,87.17124141454697,,0
b8o64003,IWSLT,333,0.0018632991789123028,,1.039736542086927,1.2153138374398254,47.31949094099562,,19.75522973711901,0
b8o64004,cnn_dm_1000,1000,0.006002522399425643,,1.147738759201573,1.4245514949465892,23.798308546344927,87.23485642671585,,0
b8o64004,dsum,1500,0.006002522399425643,,1.147738759201573,1.4245514949465892,21.400611305299233,86.99458617369335,,0
b8o64004,IWSLT,333,0.006002522399425643,,1.147738759201573,1.4245514949465892,47.78187497023512,,21.083232116943357,0
b8o64005,cnn_dm_1000,1000,0.01802637583983648,,1.1890112841942124,1.5893446942749225,20.837734982657743,86.22640173435211,,0
b8o64005,dsum,1500,0.01802637583983648,,1.1890112841942124,1.5893446942749225,16.905878820964983,85.74235810041428,,0
b8o64005,IWSLT,333,0.01802637583983648,,1.1890112841942124,1.5893446942749225,21.63043551878755,,6.987439317418688,0
b8o64006,cnn_dm_1000,1000,0.03646033170064827,,1.3159987681762029,1.9212939290276523,19.266268656956594,85.56828852891923,,0
b8o64006,dsum,1500,0.03646033170064827,,1.3159987681762029,1.9212939290276523,15.867386181824235,85.01695797443391,,0
b8o64006,IWSLT,333,0.03646033170064827,,1.3159987681762029,1.9212939290276523,18.801996961494645,,7.151955584974809,0
b8o64007,cnn_dm_1000,1000,0.074467094894349,,1.4415646229953964,2.280772787241016,16.66491149455221,84.39397824406623,,0
b8o64007,dsum,1500,0.074467094894349,,1.4415646229953964,2.280772787241016,14.18585913004713,84.03823717037837,,0
b8o64007,IWSLT,333,0.074467094894349,,1.4415646229953964,2.280772787241016,17.967041086806237,,4.008009470711757,0
b8o64008,cnn_dm_1000,1000,0.1747028104033382,,1.4803711147917977,2.4603342644799677,17.940389532035848,85.12067812681198,,0
b8o64008,dsum,1500,0.1747028104033382,,1.4803711147917977,2.4603342644799677,13.218303377594085,84.10107502937318,,0
b8o64008,IWSLT,333,0.1747028104033382,,1.4803711147917977,2.4603342644799677,15.454714227052063,,2.7903595157363323,0
b8o64009,cnn_dm_1000,1000,0.19306166188909027,,1.5606422772234894,2.488567140038566,18.562628851990738,85.21325730085373,,0
b8o64009,dsum,1500,0.19306166188909027,,1.5606422772234894,2.488567140038566,13.573771019025024,84.24758412837983,,0
b8o64009,IWSLT,333,0.19306166188909027,,1.5606422772234894,2.488567140038566,15.569602767385286,,2.6026263063506963,0
