policy_id,e2e_median_ms,ttft_median_ms,measured_speedup_vs_dense,raw_predicted_speedup_vs_dense,predicted_delta_nll
b8o64000,2305.1626067608595,1115.991149097681,1.0,1.0,0.0
b8o64001,2357.8019496053457,1173.553243279457,0.9776744001533729,1.046344500220006,0.00048125893935449965
b8o64002,2418.840691447258,1159.1685209423304,0.9530030708147291,1.0971933790151636,0.0009066674968803757
b8o64003,2217.064144089818,1011.6227362304926,1.039736542086927,1.2153138374398254,0.0018632991789123028
b8o64004,2008.4384083747864,1063.189823180437,1.147738759201573,1.4245514949465892,0.006002522399425643
b8o64005,1938.7222286313772,869.5199992507696,1.1890112841942124,1.5893446942749225,0.01802637583983648
b8o64006,1751.6449578106403,839.5041339099407,1.3159987681762029,1.9212939290276523,0.03646033170064827
b8o64007,1599.069906398654,729.2589358985424,1.4415646229953964,2.280772787241016,0.074467094894349
b8o64008,1557.1518409997225,673.3864843845367,1.4803711147917977,2.4603342644799677,0.1747028104033382
b8o64009,1477.0602080971003,731.9759894162416,1.5606422772234894,2.488567140038566,0.19306166188909027
