method,e2e_status,unsupported_reason,e2e_total_mean_ms,e2e_total_median_ms,e2e_total_min_ms,e2e_total_max_ms,e2e_prefill_mean_ms,e2e_decode_avg_mean_ms,e2e_decode_first_mean_ms,e2e_decode_steady_mean_ms,e2e_times_ms,runtime_report,compression_artifact,requested_gpu,local_gpu,iters,warmup_iters
dense_bf16,ok,,9004.649068832397,9005.338369369507,8974.72555923462,9033.883277893066,1524.0159912109375,29.221222959458828,38.847466150919594,29.183540076408487,9033.883278;9005.338369;8974.725559,,,0,0,3,1
dense_nvfp4,ok,,14994.08717473348,14469.587841033936,14421.390956878662,16091.282726287842,1215.8038736979167,53.821419144670166,54.622613271077476,53.81401719821719,16091.282726;14421.390957;14469.587841,"{'backend': 'cutlass_nvfp4_sm120', 'config': {'require_shape_alignment': True}, 'replaced_linear_count': 224, 'skipped_linear_count': 0, 'skipped': [], 'csv_fields': {'kernel_backend': 'cutlass_nvfp4_sm120', 'nvfp4_block_size': 16, 'nvfp4_backend': 'cutlass_sm120', 'nvfp4_quant_backend': 'cutlass_sm120', 'nvfp4_sf_layout': 'cutlass_sm120', 'replaced_linear_count': 224, 'skipped_linear_count': 0}}",/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/dense_nvfp4/model.pt,0,0,3,1
sparse_bf16,ok,,10222.31670888265,10159.356430053711,10150.315818786621,10357.277877807617,1101.8385823567708,35.626867681741714,74.91759745279948,35.47282429692626,10357.277878;10150.315819;10159.356430,"{'backend': 'cutlass_sparse_bf16_cusparselt', 'config': {'prune': False, 'require_shape_alignment': True, 'pad_tokens_to_multiple': 8}, 'replaced_linear_count': 224, 'skipped_linear_count': 0, 'skipped': [], 'csv_fields': {'kernel_backend': 'cutlass_sparse_bf16_cusparselt', 'sparse_backend': 'cusparselt_bf16', 'sparse_pattern': '2to4', 'sparse_prune_on_convert': False, 'token_pad_multiple': 8, 'replaced_linear_count': 224, 'skipped_linear_count': 0}}",/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_bf16/model.pt,0,0,3,1
sparse_nvfp4,ok,,16566.46898142497,16169.496913909912,16160.47258758545,17369.43744277954,1144.3556722005208,60.242630114158,63.06995137532552,60.222494060286074,17369.437443;16160.472588;16169.496914,"{'backend': 'cutlass_sparse_nvfp4_sm120', 'config': {'prune': False, 'require_shape_alignment': True, 'pad_tokens_to_multiple': 32}, 'replaced_linear_count': 224, 'skipped_linear_count': 0, 'skipped': [], 'csv_fields': {'kernel_backend': 'cutlass_sparse_nvfp4_sm120', 'nvfp4_block_size': 32, 'nvfp4_backend': 'cutlass_sparse_sm120', 'nvfp4_quant_backend': 'cutlass_sparse_sm120', 'nvfp4_sf_layout': 'cutlass_sparse_sm120', 'sparse_pattern': 'pairwise_4to8', 'sparse_prune_on_convert': False, 'token_pad_multiple': 32, 'replaced_linear_count': 224, 'skipped_linear_count': 0}}",/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt,0,0,3,1
marlin_nvfp4,ok,,7507.968202590942,7500.280504226685,7490.422912597656,7533.201190948486,1534.2699381510417,23.33475884546836,23.992799123128254,23.332363103631288,7533.201191;7500.280504;7490.422913,"{'backend': 'marlin_nvfp4_sm120', 'config': {'activation_dtype': 'torch.bfloat16', 'require_shape_alignment': True}, 'replaced_linear_count': 224, 'skipped_linear_count': 0, 'skipped': [], 'csv_fields': {'kernel_backend': 'marlin_nvfp4_sm120', 'nvfp4_block_size': 16, 'nvfp4_backend': 'marlin_sm120', 'nvfp4_quant_backend': 'marlin_sm120', 'nvfp4_sf_layout': 'marlin_sm120', 'marlin_activation_dtype': 'bfloat16', 'replaced_linear_count': 224, 'skipped_linear_count': 0}}",/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/marlin_nvfp4/model.pt,0,0,3,1
dense_nvfp4_prefill_marlin_decode,ok,,7292.930587768555,7236.260999679565,7209.194532394409,7433.336231231689,1215.5691324869792,23.739693184693653,87.06860542297363,23.484089853882477,7433.336231;7209.194532;7236.261000,"{'backend': 'llama2-7b_dense_nvfp4_prefill_marlin_decode', 'config': {'source_artifact': 'dense_nvfp4', 'marlin_m_threshold': 1}, 'replaced_linear_count': 224, 'skipped_linear_count': 0, 'skipped': []}",/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/dense_nvfp4/model.pt,0,0,3,1
