family,label,dataset,speedup,score
ours,ours 6,cnn_dm_1000,1.073533491403072,24.11430831748362
ours,ours 9,cnn_dm_1000,1.3631717581958502,24.08887623088033
ours,ours 15,cnn_dm_1000,1.9530588987754063,1.1540534868047965
uniform,dense_bf16,cnn_dm_1000,1.0,23.670921942521996
uniform,dense_nvfp4,cnn_dm_1000,1.8671812862759984,24.27316709602392
uniform,marlin_nvfp4,cnn_dm_1000,1.0430380836206163,24.579271279422223
uniform,sparse_bf16,cnn_dm_1000,1.6333134755901206,15.349945589337494
uniform,sparse_nvfp4,cnn_dm_1000,2.0735114096462945,2.047047209920785
ours,ours 6,dsum,1.073533491403072,21.69018484627646
ours,ours 9,dsum,1.3631717581958502,21.488988520726007
ours,ours 15,dsum,1.9530588987754063,1.8908821762553978
uniform,dense_bf16,dsum,1.0,21.6884274989806
uniform,dense_nvfp4,dsum,1.8671812862759984,20.592439983847946
uniform,marlin_nvfp4,dsum,1.0430380836206163,21.36761570848509
uniform,sparse_bf16,dsum,1.6333134755901206,13.539484283644915
uniform,sparse_nvfp4,dsum,2.0735114096462945,9.38796571259981
ours,ours 6,IWSLT,1.073533491403072,21.140722956587922
ours,ours 9,IWSLT,1.3631717581958502,19.26419998850942
ours,ours 15,IWSLT,1.9530588987754063,0.10851905244016478
uniform,dense_bf16,IWSLT,1.0,19.295782920893743
uniform,dense_nvfp4,IWSLT,1.8671812862759984,16.83504400661571
uniform,marlin_nvfp4,IWSLT,1.0430380836206163,18.199827875042086
uniform,sparse_bf16,IWSLT,1.6333134755901206,3.8998158055250642
uniform,sparse_nvfp4,IWSLT,2.0735114096462945,0.23786141262252805
