key,family,policy_name,policy_json,batch_size,predicted_linear_latency_ms,predicted_linear_speedup_vs_dense,predicted_quality_cost,backend_counts,replacement_ratio,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,parent_point,mutation_rate,suspicious_module_count,actual_batch_size,input_tokens,e2e_prefill_mean_ms,e2e_prefill_p50_ms,e2e_prefill_p90_ms,e2e_prefill_min_ms,e2e_prefill_max_ms,samples_per_sec,global_accuracy,total_right,total_wrong,subset_samples,accuracy_batch_size,calib_samples,replaced_linear_count,skipped_linear_count,backend_counts_runtime,runtime_skipped,warmup,iters
neighborhood_neighborhood_011,neighborhood,neighborhood_011,artifacts/debug/025_fakevlm_pareto_search_audit/policies/neighborhood/neighborhood_011.json,16,597.385581871761,1.6483133951537194,0.0262388980038913,"{'dense_bf16': 101, 'dense_nvfp4': 62, 'sparse_bf16': 60, 'sparse_nvfp4': 1}",,101,62,60,1,18,0.05,,16,1024,967.251886,967.382416,967.765863,966.439514,968.231628,16.541710,0.99000000,990,10,1000,8,128,123,0,"{'dense_bf16': 101, 'dense_nvfp4': 62, 'sparse_bf16': 60, 'sparse_nvfp4': 1}",[],3,10
neighborhood_neighborhood_012,neighborhood,neighborhood_012,artifacts/debug/025_fakevlm_pareto_search_audit/policies/neighborhood/neighborhood_012.json,16,593.6987377276321,1.6585493518813212,0.03598029556524269,"{'dense_bf16': 94, 'dense_nvfp4': 66, 'sparse_bf16': 56, 'sparse_nvfp4': 8}",,94,66,56,8,18,0.1,,16,1024,957.979071,957.944153,958.139844,957.778076,958.212463,16.701826,0.99100000,991,9,1000,8,128,130,0,"{'dense_bf16': 94, 'dense_nvfp4': 66, 'sparse_bf16': 56, 'sparse_nvfp4': 8}",[],3,10
neighborhood_neighborhood_013,neighborhood,neighborhood_013,artifacts/debug/025_fakevlm_pareto_search_audit/policies/neighborhood/neighborhood_013.json,16,604.2161974954884,1.6296793445003188,0.056369088200332755,"{'dense_bf16': 93, 'dense_nvfp4': 64, 'sparse_bf16': 56, 'sparse_nvfp4': 11}",,93,64,56,11,18,0.15,,16,1024,970.210144,970.325378,970.588763,969.686768,970.648804,16.491273,0.98900000,989,11,1000,8,128,131,0,"{'dense_bf16': 93, 'dense_nvfp4': 64, 'sparse_bf16': 56, 'sparse_nvfp4': 11}",[],3,10
neighborhood_neighborhood_014,neighborhood,neighborhood_014,artifacts/debug/025_fakevlm_pareto_search_audit/policies/neighborhood/neighborhood_014.json,16,601.8760871402452,1.636015581462168,0.08894126568057263,"{'dense_bf16': 92, 'dense_nvfp4': 58, 'sparse_bf16': 58, 'sparse_nvfp4': 16}",,92,58,58,16,18,0.2,,16,1024,960.036841,960.050201,960.192053,959.820679,960.407715,16.666027,0.99200000,992,8,1000,8,128,132,0,"{'dense_bf16': 92, 'dense_nvfp4': 58, 'sparse_bf16': 58, 'sparse_nvfp4': 16}",[],3,10
neighborhood_neighborhood_015,neighborhood,neighborhood_015,artifacts/debug/025_fakevlm_pareto_search_audit/policies/neighborhood/neighborhood_015.json,16,616.6974607231203,1.5966964668807277,0.0947197979172868,"{'dense_bf16': 90, 'dense_nvfp4': 60, 'sparse_bf16': 59, 'sparse_nvfp4': 15}",,90,60,59,15,18,0.25,,16,1024,982.681732,982.621643,982.810138,982.369568,983.538696,16.281976,0.98000000,980,20,1000,8,128,134,0,"{'dense_bf16': 90, 'dense_nvfp4': 60, 'sparse_bf16': 59, 'sparse_nvfp4': 15}",[],3,10
neighborhood_neighborhood_016,neighborhood,neighborhood_016,artifacts/debug/025_fakevlm_pareto_search_audit/policies/neighborhood/neighborhood_016.json,16,446.42077649089214,2.205718704248103,0.23275109780328976,"{'dense_bf16': 2, 'dense_nvfp4': 3, 'sparse_bf16': 152, 'sparse_nvfp4': 67}",,2,3,152,67,25,0.05,,16,1024,824.238696,824.255646,824.337250,824.114014,824.375427,19.411853,0.93800000,938,62,1000,8,128,222,0,"{'dense_bf16': 2, 'dense_nvfp4': 3, 'sparse_bf16': 152, 'sparse_nvfp4': 67}",[],3,10
neighborhood_neighborhood_017,neighborhood,neighborhood_017,artifacts/debug/025_fakevlm_pareto_search_audit/policies/neighborhood/neighborhood_017.json,16,460.2788892783427,2.1393087530361656,0.25523529253089233,"{'dense_bf16': 3, 'dense_nvfp4': 13, 'sparse_bf16': 143, 'sparse_nvfp4': 65}",,3,13,143,65,25,0.1,,16,1024,829.133685,829.089661,829.399414,828.845642,829.498840,19.297250,0.94300000,943,57,1000,8,128,221,0,"{'dense_bf16': 3, 'dense_nvfp4': 13, 'sparse_bf16': 143, 'sparse_nvfp4': 65}",[],3,10
neighborhood_neighborhood_018,neighborhood,neighborhood_018,artifacts/debug/025_fakevlm_pareto_search_audit/policies/neighborhood/neighborhood_018.json,16,479.26860113973584,2.0545444753302946,0.2511010928846888,"{'dense_bf16': 10, 'dense_nvfp4': 11, 'sparse_bf16': 134, 'sparse_nvfp4': 69}",,10,11,134,69,25,0.15,,16,1024,843.868274,843.775543,844.066980,843.537476,844.924683,18.960305,0.97200000,972,28,1000,8,128,214,0,"{'dense_bf16': 10, 'dense_nvfp4': 11, 'sparse_bf16': 134, 'sparse_nvfp4': 69}",[],3,10
neighborhood_neighborhood_019,neighborhood,neighborhood_019,artifacts/debug/025_fakevlm_pareto_search_audit/policies/neighborhood/neighborhood_019.json,16,484.2264456232846,2.0335086312840023,0.22168179241381328,"{'dense_bf16': 15, 'dense_nvfp4': 13, 'sparse_bf16': 135, 'sparse_nvfp4': 61}",,15,13,135,61,25,0.2,,16,1024,854.496649,854.478790,854.641992,854.138550,855.175049,18.724474,0.90300000,903,97,1000,8,128,209,0,"{'dense_bf16': 15, 'dense_nvfp4': 13, 'sparse_bf16': 135, 'sparse_nvfp4': 61}",[],3,10
neighborhood_neighborhood_020,neighborhood,neighborhood_020,artifacts/debug/025_fakevlm_pareto_search_audit/policies/neighborhood/neighborhood_020.json,16,504.4414091327115,1.952017893146174,0.25971548304161385,"{'dense_bf16': 19, 'dense_nvfp4': 19, 'sparse_bf16': 119, 'sparse_nvfp4': 67}",,19,19,119,67,25,0.25,,16,1024,867.135095,867.157043,867.271155,866.863953,867.414856,18.451565,0.92200000,922,78,1000,8,128,205,0,"{'dense_bf16': 19, 'dense_nvfp4': 19, 'sparse_bf16': 119, 'sparse_nvfp4': 67}",[],3,10
