reference_label,reference_accuracy,reference_e2e_prefill_mean_ms,dominating_search_key,search_accuracy,search_e2e_prefill_mean_ms,latency_improvement_ms,latency_improvement_pct
batch_16_point_000,0.993,1312.283533,suspicious_suspicious_003,0.993,973.946173,338.33736,0.25782336781025506
batch_16_point_004,0.993,1291.357227,suspicious_suspicious_003,0.993,973.946173,317.4110539999999,0.24579647471938446
batch_16_point_008,0.994,1282.053137,random_random_020,0.996,1154.348071,127.70506600000022,0.09960980735855428
batch_16_point_011,0.993,1220.815833,suspicious_suspicious_003,0.993,973.946173,246.86966000000007,0.2022169547009799
batch_16_point_015,0.994,1091.840649,,,,0.0,0.0
batch_16_point_018,0.992,949.959863,,,,0.0,0.0
batch_16_point_019,0.993,914.972687,,,,0.0,0.0
batch_16_point_020,0.988,864.053986,,,,0.0,0.0
batch_16_point_021,0.988,829.440594,,,,0.0,0.0
batch_16_point_022,0.933,820.230273,,,,0.0,0.0
batch_16_point_025,0.927,798.908258,,,,0.0,0.0
