row_type,label,batch_size,point_index,fakeclue_accuracy,accuracy_delta_vs_dense,predicted_quality_cost,predicted_accuracy_from_cost,e2e_prefill_mean_ms,e2e_speedup_vs_dense,predicted_linear_latency_ms,predicted_linear_speedup,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,policy_json,source
pareto,batch_1_point_000,1,0,0.98640000,0.00000000,0.0,0.98640000,104.451118,1.00000000,74.59293229084469,1.0,224,0,0,0,artifacts/debug/024_fakevlm_prefill_global_pareto/pareto/batch_1/policies/point_000_budget_0.json,024_fakevlm_prefill_global_pareto
pareto,batch_1_point_005,1,5,0.98700000,0.00060000,0.00018052569498515928,0.98621947,103.720885,1.00704037,73.44049702915088,1.0156920950744162,219,0,5,0,artifacts/debug/024_fakevlm_prefill_global_pareto/pareto/batch_1/policies/point_005_budget_0.000410623.json,024_fakevlm_prefill_global_pareto
pareto,batch_1_point_009,1,9,0.98660000,0.00020000,0.000698676384857541,0.98570132,102.291610,1.02111129,72.3391237632323,1.0311561491260133,214,2,8,0,artifacts/debug/024_fakevlm_prefill_global_pareto/pareto/batch_1/policies/point_009_budget_0.00106472.json,024_fakevlm_prefill_global_pareto
pareto,batch_1_point_013,1,13,0.98680000,0.00040000,0.002113881699366242,0.98428612,99.924625,1.04529907,70.5078677795091,1.0579377116339743,206,8,10,0,artifacts/debug/024_fakevlm_prefill_global_pareto/pareto/batch_1/policies/point_013_budget_0.00276077.json,024_fakevlm_prefill_global_pareto
pareto,batch_1_point_018,1,18,0.98740000,0.00100000,0.008084839723877245,0.97831516,94.905747,1.10057738,65.27378527976896,1.1427701330807318,186,25,13,0,artifacts/debug/024_fakevlm_prefill_global_pareto/pareto/batch_1/policies/point_018_budget_0.00908387.json,024_fakevlm_prefill_global_pareto
pareto,batch_1_point_022,1,22,0.98700000,0.00060000,0.02212401945195286,0.96427598,77.846159,1.34176328,56.03596398487269,1.3311617573132424,150,58,16,0,artifacts/debug/024_fakevlm_prefill_global_pareto/pareto/batch_1/policies/point_022_budget_0.023554.json,024_fakevlm_prefill_global_pareto
pareto,batch_1_point_026,1,26,0.98620000,-0.00020000,0.05836045833207148,0.92803954,67.469610,1.54812097,43.6993069562902,1.706959159911976,61,66,97,0,artifacts/debug/024_fakevlm_prefill_global_pareto/pareto/batch_1/policies/point_026_budget_0.0610741.json,024_fakevlm_prefill_global_pareto
pareto,batch_1_point_030,1,30,0.95280000,-0.03360000,0.12290974999584213,0.86349025,60.156419,1.73632540,36.28421391269951,2.0557957372403513,0,0,160,64,artifacts/debug/024_fakevlm_prefill_global_pareto/pareto/batch_1/policies/point_030_budget_0.158362.json,024_fakevlm_prefill_global_pareto
uniform,Uniform dense BF16,1,101,0.98640000,0.00000000,,,104.45111800,1.00000000,,,224,0,0,0,,accuracy=020_fakevlm_uniform_accuracy;speed=024_dense_reference
uniform,Uniform dense NVFP4,1,102,0.98700000,0.00060000,,,70.98768700,1.47139768,,,0,224,0,0,,accuracy=020_fakevlm_uniform_accuracy;speed=021_fakevlm_linear_hybrid_prefill_speed
