row_type,label,batch_size,point_index,fakeclue_accuracy,accuracy_delta_vs_dense,predicted_quality_cost,predicted_accuracy_from_cost,e2e_prefill_mean_ms,e2e_speedup_vs_dense,predicted_linear_latency_ms,predicted_linear_speedup,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,policy_json,source
pareto,batch_16_point_000,16,0,0.98640000,0.00000000,0.0,0.98640000,1313.568433,1.00000000,984.6786566709227,1.0,224,0,0,0,artifacts/debug/024_fakevlm_prefill_global_pareto/pareto/batch_16/policies/point_000_budget_0.json,024_fakevlm_prefill_global_pareto
pareto,batch_16_point_004,16,4,0.98680000,0.00040000,0.00018781177416607418,0.98621219,1297.143689,1.01266224,968.9535206588902,1.0162289889832274,220,4,0,0,artifacts/debug/024_fakevlm_prefill_global_pareto/pareto/batch_16/policies/point_004_budget_0.00205422.json,024_fakevlm_prefill_global_pareto
pareto,batch_16_point_008,16,8,0.98700000,0.00060000,0.0009660923416600694,0.98543391,1273.648804,1.03134273,941.4345326378333,1.0459342870203863,213,11,0,0,artifacts/debug/024_fakevlm_prefill_global_pareto/pareto/batch_16/policies/point_008_budget_0.00532647.json,024_fakevlm_prefill_global_pareto
pareto,batch_16_point_011,16,11,0.98640000,0.00000000,0.0024050409106073796,0.98399496,1232.168921,1.06606197,894.2591246017357,1.1011111092765824,201,23,0,0,artifacts/debug/024_fakevlm_prefill_global_pareto/pareto/batch_16/policies/point_011_budget_0.0108839.json,024_fakevlm_prefill_global_pareto
pareto,batch_16_point_015,16,15,0.98660000,0.00020000,0.00628876239394728,0.98011124,1110.211169,1.18316990,752.732900493443,1.3081381935417344,165,59,0,0,artifacts/debug/024_fakevlm_prefill_global_pareto/pareto/batch_16/policies/point_015_budget_0.0282214.json,024_fakevlm_prefill_global_pareto
pareto,batch_16_point_018,16,18,0.98480000,-0.00160000,0.023050280472202304,0.96334972,957.340991,1.37210090,587.8043501102961,1.6751809619751141,103,64,57,0,artifacts/debug/024_fakevlm_prefill_global_pareto/pareto/batch_16/policies/point_018_budget_0.0576664.json,024_fakevlm_prefill_global_pareto
pareto,batch_16_point_019,16,19,0.98640000,0.00000000,0.03181368247727924,0.95458632,917.858167,1.43112354,548.7533711102961,1.7943919955855874,70,64,90,0,artifacts/debug/024_fakevlm_prefill_global_pareto/pareto/batch_16/policies/point_019_budget_0.0731764.json,024_fakevlm_prefill_global_pareto
pareto,batch_16_point_020,16,20,0.98420000,-0.00220000,0.04213744969764091,0.94426255,866.804022,1.51541571,500.23548811029616,1.9684302295118503,29,64,131,0,artifacts/debug/024_fakevlm_prefill_global_pareto/pareto/batch_16/policies/point_020_budget_0.092858.json,024_fakevlm_prefill_global_pareto
pareto,batch_16_point_021,16,21,0.97900000,-0.00740000,0.06277628470124316,0.92362372,829.793335,1.58300673,460.51542625826414,2.138209928539288,0,53,160,11,artifacts/debug/024_fakevlm_prefill_global_pareto/pareto/batch_16/policies/point_021_budget_0.117833.json,024_fakevlm_prefill_global_pareto
pareto,batch_16_point_022,16,22,0.94840000,-0.03800000,0.09983027723115029,0.88656972,819.160175,1.60355505,451.1837751502089,2.182433657644497,0,34,160,30,artifacts/debug/024_fakevlm_prefill_global_pareto/pareto/batch_16/policies/point_022_budget_0.149526.json,024_fakevlm_prefill_global_pareto
pareto,batch_16_point_025,16,25,0.95280000,-0.03360000,0.23572979522396667,0.75067020,803.449835,1.63491033,434.48503106211,2.266312039022035,0,0,160,64,artifacts/debug/024_fakevlm_prefill_global_pareto/pareto/batch_16/policies/point_025_budget_0.305535.json,024_fakevlm_prefill_global_pareto
uniform,Uniform dense BF16,16,101,0.98640000,0.00000000,,,1313.56843300,1.00000000,,,224,0,0,0,,accuracy=020_fakevlm_uniform_accuracy;speed=024_dense_reference
uniform,Uniform dense NVFP4,16,102,0.98700000,0.00060000,,,990.02967500,1.32679703,,,0,224,0,0,,accuracy=020_fakevlm_uniform_accuracy;speed=021_fakevlm_linear_hybrid_prefill_speed
uniform,Uniform sparse BF16,16,103,0.98520000,-0.00120000,,,863.46842700,1.52126979,,,0,0,224,0,,accuracy=020_fakevlm_uniform_accuracy;speed=021_fakevlm_linear_hybrid_prefill_speed
uniform,Uniform sparse NVFP4,16,104,0.76860000,-0.21780000,,,927.37973000,1.41642996,,,0,0,0,224,,accuracy=020_fakevlm_uniform_accuracy;speed=021_fakevlm_linear_hybrid_prefill_speed
