n,seed,accuracy,abs_error
25,0,0.96,0.026800000000000046
25,1,0.96,0.026800000000000046
25,2,1.0,0.01319999999999999
25,3,1.0,0.01319999999999999
25,4,1.0,0.01319999999999999
25,5,1.0,0.01319999999999999
25,6,1.0,0.01319999999999999
25,7,1.0,0.01319999999999999
25,8,0.96,0.026800000000000046
25,9,1.0,0.01319999999999999
25,10,1.0,0.01319999999999999
25,11,0.96,0.026800000000000046
25,12,1.0,0.01319999999999999
25,13,0.96,0.026800000000000046
25,14,0.96,0.026800000000000046
25,15,1.0,0.01319999999999999
25,16,0.96,0.026800000000000046
25,17,1.0,0.01319999999999999
25,18,1.0,0.01319999999999999
25,19,1.0,0.01319999999999999
25,20,1.0,0.01319999999999999
25,21,1.0,0.01319999999999999
25,22,1.0,0.01319999999999999
25,23,1.0,0.01319999999999999
25,24,1.0,0.01319999999999999
25,25,0.96,0.026800000000000046
25,26,0.96,0.026800000000000046
25,27,0.96,0.026800000000000046
25,28,1.0,0.01319999999999999
25,29,1.0,0.01319999999999999
50,0,0.98,0.006800000000000028
50,1,0.96,0.026800000000000046
50,2,1.0,0.01319999999999999
50,3,0.98,0.006800000000000028
50,4,1.0,0.01319999999999999
50,5,1.0,0.01319999999999999
50,6,0.98,0.006800000000000028
50,7,0.98,0.006800000000000028
50,8,0.98,0.006800000000000028
50,9,1.0,0.01319999999999999
50,10,1.0,0.01319999999999999
50,11,0.98,0.006800000000000028
50,12,1.0,0.01319999999999999
50,13,0.94,0.046800000000000064
50,14,0.98,0.006800000000000028
50,15,0.98,0.006800000000000028
50,16,0.98,0.006800000000000028
50,17,1.0,0.01319999999999999
50,18,1.0,0.01319999999999999
50,19,1.0,0.01319999999999999
50,20,1.0,0.01319999999999999
50,21,0.98,0.006800000000000028
50,22,0.98,0.006800000000000028
50,23,1.0,0.01319999999999999
50,24,1.0,0.01319999999999999
50,25,0.96,0.026800000000000046
50,26,0.98,0.006800000000000028
50,27,0.98,0.006800000000000028
50,28,0.96,0.026800000000000046
50,29,1.0,0.01319999999999999
75,0,0.9866666666666667,0.00013333333333331865
75,1,0.9733333333333334,0.013466666666666627
75,2,1.0,0.01319999999999999
75,3,0.9866666666666667,0.00013333333333331865
75,4,1.0,0.01319999999999999
75,5,1.0,0.01319999999999999
75,6,0.9866666666666667,0.00013333333333331865
75,7,0.9866666666666667,0.00013333333333331865
75,8,0.9866666666666667,0.00013333333333331865
75,9,1.0,0.01319999999999999
75,10,1.0,0.01319999999999999
75,11,0.9866666666666667,0.00013333333333331865
75,12,1.0,0.01319999999999999
75,13,0.96,0.026800000000000046
