module_name,from_method,to_method,latency_delta_ms,quality_delta
model.language_model.layers.0.mlp.down_proj,dense_bf16,sparse_bf16,-3.61525173025332,2.1117013056386377e-05
model.language_model.layers.9.self_attn.q_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.00019101896806820437
model.language_model.layers.9.self_attn.k_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.00014254732009734457
model.language_model.layers.9.self_attn.v_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.0003307817871887404
model.language_model.layers.9.self_attn.o_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.00040478549629292506
model.language_model.layers.10.self_attn.q_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.00019347343234582716
model.language_model.layers.10.self_attn.k_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.00015106835394455365
model.language_model.layers.10.self_attn.v_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.00033610779421722767
model.language_model.layers.10.self_attn.o_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.00042582569607923484
model.language_model.layers.11.self_attn.q_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.00020570265108550706
model.language_model.layers.11.self_attn.k_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.00015568564034885483
model.language_model.layers.11.self_attn.v_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.000322413395386906
model.language_model.layers.11.self_attn.o_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.00046415415452621473
model.language_model.layers.12.self_attn.q_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.00021312689135329806
model.language_model.layers.12.self_attn.k_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.0001683585425261659
model.language_model.layers.12.self_attn.v_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.0003152461937717265
model.language_model.layers.12.self_attn.o_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.0004392080687790833
model.language_model.layers.13.self_attn.q_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.00021620052190988312
model.language_model.layers.13.self_attn.k_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.00017269766748301035
model.language_model.layers.13.self_attn.v_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.00033793662881910795
model.language_model.layers.13.self_attn.o_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.00035476247171883945
model.language_model.layers.14.self_attn.q_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.00022039704753399993
model.language_model.layers.14.self_attn.k_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.00016629169118486417
model.language_model.layers.14.self_attn.v_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.00033053377759178007
model.language_model.layers.14.self_attn.o_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.0004386896409808563
model.language_model.layers.31.self_attn.o_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.0001901347494802674
