module_name,from_method,to_method,latency_delta_ms,quality_delta
model.language_model.layers.0.mlp.gate_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,8.86327573644213e-05
model.language_model.layers.0.mlp.up_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,0.00010022971718932794
model.language_model.layers.1.mlp.gate_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,5.2626209348293354e-05
model.language_model.layers.1.mlp.up_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,9.188017273518002e-05
model.language_model.layers.2.mlp.gate_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,0.00011362923953608862
model.language_model.layers.2.mlp.up_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,0.0001434451304598502
model.language_model.layers.3.mlp.up_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,0.00013541206959713918
model.language_model.layers.4.mlp.up_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,0.0001345370179313253
model.language_model.layers.6.mlp.up_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,0.00012514629186518837
model.language_model.layers.7.mlp.gate_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,7.20989923173832e-05
model.language_model.layers.7.mlp.up_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,0.00012469273710852128
model.language_model.layers.19.mlp.gate_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,0.0001139451119062505
