m,n,k,kernel,predictor_source,predicted_local_ms,exact_local_ms,local_error_ms,local_error_pct
16384,4096,4096,dense_bf16,measured,2.441358,2.446294,-0.004935999999999829,-0.20177460272558528
16384,4096,4096,dense_nvfp4,measured,1.969835,1.980634,-0.010799000000000003,-0.5452294568304897
16384,4096,4096,marlin_nvfp4,measured,2.398342,2.392269,0.006072999999999773,0.25385941129529216
16384,4096,4096,sparse_bf16,measured,1.257995,1.269165,-0.011170000000000124,-0.8801062115643059
16384,4096,4096,sparse_nvfp4,measured,1.8060494999999999,1.820102,-0.014052500000000245,-0.7720721146397425
16384,4096,14336,dense_bf16,predicted,9.162513656198282,8.399278,0.7632356561982814,9.08691980665816
16384,4096,14336,dense_nvfp4,predicted,6.33261076343214,6.597158,-0.2645472365678607,-4.010018201290021
16384,4096,14336,marlin_nvfp4,predicted,8.449580834174672,8.149673,0.2999078341746717,3.679998377538236
16384,4096,14336,sparse_bf16,predicted,4.406881676967695,4.287334,0.1195476769676942,2.788391969641138
16384,4096,14336,sparse_nvfp4,predicted,5.923774651648821,6.221545,-0.2977703483511789,-4.786115801640571
16384,6144,4096,dense_bf16,predicted,3.914394789297884,3.558458,0.3559367892978842,10.002556986702785
16384,6144,4096,dense_nvfp4,predicted,2.407372722403801,2.237946,0.16942672240380086,7.570634966339708
16384,6144,4096,marlin_nvfp4,predicted,3.6664150868265093,3.727,-0.06058491317349057,-1.625567834008333
16384,6144,4096,sparse_bf16,predicted,1.9079242915966026,1.847074,0.06085029159660249,3.2944154699055095
16384,6144,4096,sparse_nvfp4,predicted,2.1361463190118672,1.995825,0.14032131901186728,7.030742625824773
16384,28672,4096,dense_bf16,predicted,18.58725059711499,15.869431,2.7178195971149908,17.126131347210816
16384,28672,4096,dense_nvfp4,predicted,5.781626604061589,4.867897,0.9137296040615892,18.770520495022577
16384,28672,4096,marlin_nvfp4,predicted,18.09249285331458,16.688426,1.404066853314582,8.413416899320415
16384,28672,4096,sparse_bf16,predicted,8.979271598575469,10.683138,-1.7038664014245306,-15.949119083030949
16384,28672,4096,sparse_nvfp4,predicted,4.3123343747315515,3.910486,0.4018483747315513,10.27617474481564
