policy_id,predicted_local_sum_ms,exact_local_sum_ms,local_prediction_error_ms,local_prediction_error_pct,measured_e2e_ms,e2e_minus_exact_local_ms,e2e_over_exact_local,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,count_w4a16_ours
p00,1091.3765453635567,968.7507519999982,122.6257933635585,12.658136585741584,1294.8220781981945,326.0713261981963,1.3365894947952484,128,0,0,0,0
p01,527.7262428767208,501.87632000000065,25.849922876720143,5.1506560175463365,700.1333590596914,198.25703905969078,1.3950316664864573,0,128,0,0,0
p02,529.6663221484724,578.7747519999998,-49.108429851527376,-8.484894975433793,1026.5022795647383,447.72752756473847,1.773578194310623,0,0,128,0,0
p03,453.7057550525515,446.3346560000002,7.371099052551301,1.651473609199483,644.4332432001829,198.0985872001827,1.4438342049786574,0,0,0,128,0
p04,1043.4185847781048,990.6357760000012,52.78280877810357,5.328175102985934,1184.6411116421223,194.00533564212105,1.195839217946961,0,0,0,0,128
point_000,1091.3765453635567,968.7507519999982,122.6257933635585,12.658136585741584,1294.2030411213636,325.4522891213654,1.3359504892764884,128,0,0,0,0
point_003,963.320305433022,858.7354119999984,104.58489343302358,12.178942660515759,1184.738863259554,326.0034512595555,1.3796320108661784,118,10,0,0,0
point_005,707.2078255719541,638.7047319999994,68.50309357195476,10.725314866143004,947.7773569524288,309.07262495242946,1.4839053313173665,98,30,0,0,0
point_007,602.3592965883959,566.242304,36.116992588395874,6.3783635262256695,825.9119559079409,259.6696519079409,1.4585839844066841,68,60,0,0,0
point_008,538.8714520770981,514.5378400000005,24.33361207709754,4.729217209194472,792.9017581045628,278.36391810456223,1.5409979528513627,38,64,26,0,0
point_009,483.99506618867304,452.98774800000075,31.007318188672286,6.845067736505809,788.6040043085814,335.6162563085806,1.7408947764931162,31,43,54,0,0
point_010,451.7572263240286,417.04492100000044,34.71230532402814,8.323397211215072,783.9925717562437,366.94765075624326,1.8798756015931504,8,53,67,0,0
point_011,427.0497869480483,395.4282860000002,31.621500948048094,7.996772630486046,768.4558480978012,373.027562097801,1.9433507295879204,6,28,88,6,0
point_012,405.9229144254179,379.9683979999999,25.954516425417978,6.830703964338103,753.5516638308764,373.5832658308764,1.9831956231025205,0,20,91,17,0
point_014,380.32433098546727,362.0498879999995,18.274442985467772,5.047493064123747,739.6667264401913,377.61683844019177,2.0429967000575133,0,0,96,32,0
bridge_dense_nvfp4_072,707.1064021757114,647.3012639999997,59.805138175711704,9.239150531878419,902.9218778014183,255.62061380141859,1.394902077313754,56,72,0,0,0
bridge_dense_nvfp4_088,672.4110024984298,622.3202080000002,50.090794498429545,8.049038719055952,858.3439588546753,236.0237508546751,1.3792641598658724,40,88,0,0,0
bridge_dense_nvfp4_104,557.9098340188499,523.7438400000008,34.16599401884912,6.523416870898008,742.6576372236013,218.91379722360057,1.4179787531698707,24,104,0,0,0
bridge_dense_nvfp4_120,531.4984268767208,505.6016000000007,25.896826876720127,5.121982777886796,705.2054572850466,199.60385728504588,1.3947848608173818,8,120,0,0,0
