method,model_variant,model_path,batch_size,input_tokens,output_tokens,multimodal,text_tokens,image_tokens,total_prefill_tokens,image_size,dtype,attn_implementation,input_mode,sampling,checkpoint_path,kernel_backend,nvfp4_block_size,nvfp4_backend,nvfp4_quant_backend,nvfp4_sf_layout,marlin_activation_dtype,replaced_linear_count,skipped_linear_count,compressed_module_count,packed_checkpoint_file_size_bytes,prefill_hybrid_linear_attn_block_pct,prefill_full_attn_block_pct,prefill_mlp_block_pct,prefill_norm_pct,prefill_lm_head_pct,prefill_vision_pct,prefill_all_linear_pct,prefill_other_pct,decode_hybrid_linear_attn_block_pct,decode_full_attn_block_pct,decode_mlp_block_pct,decode_norm_pct,decode_lm_head_pct,decode_vision_pct,decode_all_linear_pct,decode_other_pct,prefill_total_ms,decode_total_ms,status
dense,2B,/home/agent/wja/data/models/Qwen/Qwen3.5-2B,1,256,32,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,84.09130079741693,3.830445387228451,4.625930177728901,4.318716051213533,0.9088780671623398,,9.069150027888043,2.224729519249834,47.933603705476166,12.566918989324893,13.188997514519613,15.154561222381254,1.81889429584269,,20.865843441424005,9.33702427245538,131.1908432006836,35.7505989074707,
dense,2B,/home/agent/wja/data/models/Qwen/Qwen3.5-2B,1,256,128,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,79.72164937668035,4.0719722698693035,5.1732273902073524,4.245068761473086,0.9979970836039369,,10.519916782497209,5.790085118165976,46.09522132886491,11.990710113937833,15.781213920322614,13.887520012397616,1.8632919595449848,,21.902328294287038,10.382042664932044,119.06792297363282,34.60833892822266,
dense,2B,/home/agent/wja/data/models/Qwen/Qwen3.5-2B,1,256,256,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,77.50067651344573,4.65885140822533,7.046110153558826,4.0674463756288555,0.8625693625883146,,10.79544695758569,5.86434618655295,44.84756332429651,11.574659293616156,17.66509309434066,13.09106191561543,1.5922436142208334,,23.25960489897249,11.22937875791041,137.84231872558593,40.607052612304685,
dense,2B,/home/agent/wja/data/models/Qwen/Qwen3.5-2B,1,1024,32,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,79.17867577766435,3.2590941521710617,9.693704609994857,2.684462226525394,2.6646928439150686,,16.272117047811896,2.5193703897292608,43.46626089710697,11.609234855787907,18.798929622915473,12.837718623579343,1.470357950057929,,24.420391867776036,11.817498050552373,161.76921997070312,44.033468627929686,
dense,2B,/home/agent/wja/data/models/Qwen/Qwen3.5-2B,1,1024,128,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,77.83179043338521,3.5029731873250025,9.476798050391777,2.719120414351799,2.4914674528536627,,16.45204635631391,3.9778504616925545,42.103521998448734,11.547582549038502,20.407530650120798,12.262357399456361,1.2769587789096433,,25.865289806618232,12.402048624025966,174.405810546875,50.82976951599121,
dense,2B,/home/agent/wja/data/models/Qwen/Qwen3.5-2B,1,1024,256,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,77.45557109527063,3.5056605574268214,9.834577334072366,2.863913047041626,2.2607828545988355,,16.289194231994717,4.079495111589722,41.25774580536802,11.727516484435547,21.04732170026259,12.250166172120776,1.1276360160083705,,26.149338034740293,12.589613821804704,192.36125946044922,57.753104019165036,
dense,2B,/home/agent/wja/data/models/Qwen/Qwen3.5-2B,1,4096,32,False,4096,0,4096,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,76.91704397171861,2.6238504431503005,12.22721685144413,1.7962170711669474,5.051099974470198,,22.355821362330893,1.3845716880498173,41.46703383164117,11.260284292091798,21.075886337341473,11.617834404152308,1.0692775227960165,,27.06590409891078,13.509683611977238,338.0867095947266,61.0984504699707,
dense,2B,/home/agent/wja/data/models/Qwen/Qwen3.5-2B,1,4096,128,False,4096,0,4096,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,76.52600497489796,2.543587726335137,11.898737908453201,1.8301936035191513,4.862918670761118,,21.69447005579841,2.338557116033428,40.46319521424894,11.666277954287818,22.425460150779898,11.334665877114864,0.9472221023372767,,28.68757539736605,13.163178701231203,351.1703674316406,69.06190338134766,
dense,2B,/home/agent/wja/data/models/Qwen/Qwen3.5-2B,1,4096,256,False,4096,0,4096,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,76.70879920487727,2.415035031233403,11.790106401698901,1.8475948784121594,4.634853572889932,,21.205479723715797,2.603610910888335,39.96785974983765,11.299437677271795,23.301870230112147,11.188997513394979,0.8593470556568564,,28.83483645234367,13.382487773726567,368.46571044921876,76.16648025512696,
dense,2B,/home/agent/wja/data/models/Qwen/Qwen3.5-2B,1,8192,32,False,8192,0,8192,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,73.60630818093578,3.6129930174280216,13.874508978748347,2.208759143661519,5.947745487393076,,25.47802369469173,0.749685191833251,39.007403944171735,10.396545727498742,24.22017533822461,10.907951275581079,0.8285610532699561,,27.86321591158433,14.639362661253884,574.1892517089843,79.41594696044922,
