method,model_variant,model_path,batch_size,input_tokens,output_tokens,multimodal,text_tokens,image_tokens,total_prefill_tokens,image_size,dtype,attn_implementation,input_mode,sampling,checkpoint_path,kernel_backend,nvfp4_block_size,nvfp4_backend,nvfp4_quant_backend,nvfp4_sf_layout,marlin_activation_dtype,replaced_linear_count,skipped_linear_count,compressed_module_count,packed_checkpoint_file_size_bytes,prefill_hybrid_linear_attn_block_pct,prefill_full_attn_block_pct,prefill_mlp_block_pct,prefill_norm_pct,prefill_lm_head_pct,prefill_vision_pct,prefill_all_linear_pct,prefill_other_pct,decode_hybrid_linear_attn_block_pct,decode_full_attn_block_pct,decode_mlp_block_pct,decode_norm_pct,decode_lm_head_pct,decode_vision_pct,decode_all_linear_pct,decode_other_pct,prefill_total_ms,decode_total_ms,status
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,256,32,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,80.10922745482861,2.726911587036378,11.243839503617917,3.0742383737348478,1.3365250116297829,,16.733409619049606,1.509258069152466,48.6148659111775,12.509537077339532,16.75960867229937,13.063272168137129,2.733001740358198,,30.960100219714143,6.319714430688265,167.22003173828125,46.23206748962402,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,1024,32,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,61.94528057833206,3.8969030765166406,26.995531187316764,2.1005068165906065,4.112195376303935,,42.81447247386208,0.9495829649399923,59.42750298660171,9.143523225537662,13.133367302839213,10.453489516387888,2.069450117167267,,24.223634749439725,5.772666851466255,206.6458999633789,61.48555068969726,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,4096,32,False,4096,0,4096,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,50.60024137244361,5.409706006805504,34.41487499654136,2.97556875863578,5.887345052760788,,54.05809703578071,0.7122638128129637,45.3572887619196,11.625667617407203,17.26464243048698,13.04851862196287,2.33062315068722,,30.71411507626794,10.373259417536133,575.5167297363281,54.735850143432614,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,8192,32,False,8192,0,8192,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,53.1364506455509,5.848922416062576,30.31296865194675,4.481878546235585,5.5756067352989875,,47.27613004371397,0.6441730049051984,43.94835194261419,11.525563714836139,18.35655672377635,12.42685321016914,2.0580377146898754,,29.265499703399893,11.684636693914314,1214.8659423828126,62.09378890991211,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,256,32,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,53.73251480529849,4.1881510051144675,32.14282029416098,3.1494320775125524,4.712809350953332,,49.57689398049594,2.0742724669601813,42.769455772941484,11.734028453549119,19.712578594100886,12.055175229807665,1.7775306232235077,,30.285175219915825,11.95123132637734,180.35231323242186,69.65636444091797,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,1024,32,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,44.1951834715017,5.323409752262402,39.41754293022916,3.422410319630278,6.73267133241431,,61.87374923583988,0.9087821939621534,42.83307210148377,10.967419341840587,20.16348437450301,11.82020340403762,1.616712152334576,,28.830300714669686,12.59910862580044,503.22279357910156,76.63632583618164,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,4096,32,False,4096,0,4096,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,45.937349741515995,5.864387608454,35.06565515030617,5.582424358742426,6.711413560903347,,54.870496783679904,0.8387695800780648,42.358835065479575,11.140463322303678,20.678545988239765,11.525923212780084,1.4542652402647969,,27.98557188830775,12.841967170932108,2020.90107421875,85.28909149169922,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,8192,32,False,8192,0,8192,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOM
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,16,256,32,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,43.949248013172834,5.142371394509434,39.637055893932654,3.489790779622961,6.746922682801914,,62.172821782026965,1.0346112359601989,41.42714661344325,10.593612642073046,22.38098798285922,11.181583294475951,1.2542344585189535,,28.096305703049698,13.162435008629586,502.43222961425784,99.81776351928711,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,16,1024,32,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,45.844400032801005,5.177796089437923,35.62258652989873,5.666995094649681,6.814198084359898,,55.72802234814363,0.8740241688527561,40.62897431741945,11.007328163718082,22.335528632464744,10.980157410055577,1.1520579392157184,,28.973230725255316,13.89595353712643,1991.0247802734375,109.03479385375977,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,16,4096,32,False,4096,0,4096,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOM
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,16,8192,32,False,8192,0,8192,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOM
