x,y,n,pearson,spearman
conditional_nll,rougeL,16,-0.9983705607261086,0.15758468335787926
quality_cost,conditional_nll,14,-0.7980773596883566,-0.7795583592422953
quality_cost,rougeL,14,-0.5408072503515143,-0.585782424230639
