kind,label,point_index,method,quality_cost,conditional_nll,conditional_ppl,rougeL,rouge1,rouge2,measured_e2e_ms,speed_source,num_samples,nll_tokens,measured_speedup_vs_p0,nll_delta_vs_p0,rougeL_delta_vs_p0
pareto,P0,0,,0.0,1.4889051200098955,4.432240090446553,0.1613715920112054,0.2166799199972852,0.056873702232602207,9025.964805603027,stable_e2e_repeats,1500,46958,1.0,0.0,0.0
pareto,P1,1,,0.07939888550017404,1.4858245095820697,4.418607095160623,0.1610594696951693,0.2165017807651955,0.05690000129839853,8951.895942052206,stable_e2e_repeats,1500,46958,1.0082740979151552,-0.003080610427825814,-0.00031212231603611196
pareto,P2,2,,0.1584072161624477,1.4870388782709427,4.423976172625388,0.16111999805560895,0.21641763993195312,0.05689532394654081,8918.19899113973,stable_e2e_repeats,1500,46958,1.0120838091379618,-0.0018662417389527786,-0.0002515939555964575
pareto,P3,3,,0.32589587390637925,1.4926724486124925,4.448969287718434,0.16115700611783693,0.21685496262022905,0.05716913343338739,9017.07734489441,stable_e2e_repeats,1500,46958,1.0009856254270293,0.0037673286025969865,-0.00021458589336847966
pareto,P4,4,,0.6480965810581958,1.4897564143419588,4.436014837796441,0.16122570353176907,0.21673083402100626,0.05722757674878156,8973.598352432251,stable_e2e_repeats,1500,46958,1.0058356136651228,0.0008512943320633237,-0.00014588847943633465
pareto,P5,5,,1.3054874738344142,1.485885310977976,4.41887576080751,0.16090825499274386,0.21629040781603268,0.05707774828380947,8871.104637781778,stable_e2e_repeats,1500,46958,1.0174566949826862,-0.0030198090319195625,-0.00046333701846154596
pareto,P6,6,,2.597271027163946,1.4822082491712154,4.402657118268204,0.16116888882872552,0.2165438474043933,0.05720527684882696,8524.874313990274,stable_e2e_repeats,1500,46958,1.058779809901761,-0.006696870838680091,-0.00020270318247989083
pareto,P7,7,,5.297421781931477,1.4816577396184964,4.4002340804811695,0.16113622208957443,0.21659691363566116,0.057272547863108286,8340.848864237467,stable_e2e_repeats,1500,46958,1.082139834028535,-0.00724738039139905,-0.00023536992163097903
pareto,P8,8,,10.4522982016115,1.4684155689543235,4.342349534205412,0.1601296275726197,0.21591561557799036,0.057898922549666026,7812.8311316172285,stable_e2e_repeats,1500,46958,1.1552745289830275,-0.02048955105557204,-0.0012419644385857076
pareto,P9,9,,16.530083108272944,1.473034934303125,4.362454834287909,0.16099907207766,0.2168901282224929,0.05762591345479977,7394.1501057942705,stable_e2e_repeats,1500,46958,1.2206899611802606,-0.015870185706770457,-0.0003725199335453955
uniform,dense_bf16,,dense_bf16,0.0,1.4889051200098955,4.432240090446553,0.1613715920112054,0.2166799199972852,0.056873702232602207,9004.649068832397,uniform_e2e_validation,1500,46958,1.002367192392251,0.0,0.0
uniform,dense_nvfp4,,dense_nvfp4,16.530083108272944,1.4824177007236858,4.403579358215543,0.1612061026445633,0.21717757671843127,0.057764601639556316,14994.08717473348,uniform_e2e_validation,1500,46958,0.601968275922303,-0.006487419286209661,-0.00016548936664209646
uniform,sparse_bf16,,sparse_bf16,nan,1.6584258065597224,5.251038184906743,0.1526632832784141,0.1998301597323576,0.05052962593535095,10222.31670888265,uniform_e2e_validation,1500,46958,0.8829666564488208,0.16952068654982688,-0.008708308732791298
uniform,sparse_nvfp4,,sparse_nvfp4,nan,2.528721604088265,12.537468039448386,0.09743209916027967,0.10764299181184869,0.017886106387326167,16566.46898142497,uniform_e2e_validation,1500,46958,0.544833350771569,1.0398164840783697,-0.06393949285092573
uniform,marlin_nvfp4,,marlin_nvfp4,16.530083108272944,1.4722348786557249,4.358966023468704,0.1606404214090814,0.216413255648684,0.057675100680637144,7507.968202590942,uniform_e2e_validation,1500,46958,1.2021847405384902,-0.016670241354170612,-0.0007311706021239928
uniform,dense_nvfp4_prefill_marlin_decode,,dense_nvfp4_prefill_marlin_decode,16.530083108272944,1.477486153838838,4.381916360098732,0.16059879637697141,0.21625085616066925,0.057431774743502625,7292.930587768555,uniform_e2e_validation,1500,46958,1.2376320735509339,-0.011418966171057532,-0.0007727956342339914
