batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,1132.4541624635458,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,1128.6481488496065,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,1129.9925912171602,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,1129.780376330018,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,1130.075965076685,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,1142.5605993717909,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,2829.8910707235336,2048,0,ours_max_speed,64,main,prefill_decode,True
8,2800.8750043809414,2048,1,ours_max_speed,64,main,prefill_decode,False
8,2816.5056370198727,2048,2,ours_max_speed,64,main,prefill_decode,False
8,2825.2896163612604,2048,3,ours_max_speed,64,main,prefill_decode,False
8,2818.033503368497,2048,4,ours_max_speed,64,main,prefill_decode,False
8,2848.0460233986378,2048,5,ours_max_speed,64,main,prefill_decode,False
