method,group,prefill_sum_ms,decode_first_sum_ms,decode_steady_sum_ms,decode_steps_traced,projected_total_ms,prefill_backend,decode_backend,rank
dense_nvfp4_prefill_marlin_decode,mlp.down_proj,166.70054388046265,25.245920062065125,0.7922859398588058,32,393.97937860652326,dense_nvfp4,marlin_nvfp4,1
marlin_nvfp4,mlp.down_proj,200.98204946517944,0.8660480082035065,0.7772614239084144,32,400.04976057002864,marlin_nvfp4,marlin_nvfp4,2
dense_bf16,mlp.down_proj,207.51407861709595,2.135679990053177,2.1262224487239316,32,751.8364830317516,dense_bf16,dense_bf16,3
sparse_bf16,mlp.down_proj,141.48271870613098,51.93356826901436,6.171919485734355,32,1767.2557558374058,sparse_bf16,sparse_bf16,4
dense_nvfp4,mlp.down_proj,166.41884756088257,6.474112018942833,6.438062451058818,32,1814.598884599824,dense_nvfp4,dense_nvfp4,5
sparse_nvfp4,mlp.down_proj,156.43148756027222,8.152383998036385,8.173086970083174,32,2248.721048929518,sparse_nvfp4,sparse_nvfp4,6
dense_nvfp4_prefill_marlin_decode,mlp.gate_proj,89.52073669433594,27.177887976169586,0.72850581096305,32,302.4676064660833,dense_nvfp4,marlin_nvfp4,1
marlin_nvfp4,mlp.gate_proj,209.1192021369934,0.8452800065279007,0.7210064562818697,32,393.82112849539806,marlin_nvfp4,marlin_nvfp4,2
sparse_bf16,mlp.gate_proj,130.10479927062988,48.43843174725771,1.8475055755867111,32,649.6571527924989,sparse_bf16,sparse_bf16,3
dense_bf16,mlp.gate_proj,197.34918451309204,2.046176038682461,1.9051788765336237,32,685.2159740678485,dense_bf16,dense_bf16,4
dense_nvfp4,mlp.gate_proj,88.88009524345398,6.579968020319939,6.505233548341259,32,1754.294618090795,dense_nvfp4,dense_nvfp4,5
sparse_nvfp4,mlp.gate_proj,74.93132662773132,8.598048001527786,8.501571106333886,32,2251.4300067444,sparse_nvfp4,sparse_nvfp4,6
dense_nvfp4_prefill_marlin_decode,mlp.up_proj,90.36505579948425,27.758880019187927,0.76683870895255,32,313.66780660157247,dense_nvfp4,marlin_nvfp4,1
marlin_nvfp4,mlp.up_proj,208.90377712249756,1.880608007311821,0.7554270974811046,32,403.41829498749104,marlin_nvfp4,marlin_nvfp4,2
sparse_bf16,mlp.up_proj,102.48336029052734,3.1541440188884735,1.9688743334864416,32,607.7004593484585,sparse_bf16,sparse_bf16,3
dense_bf16,mlp.up_proj,197.66480112075806,1.880032006651163,1.8596397664758466,32,673.7529735787501,dense_bf16,dense_bf16,4
dense_nvfp4,mlp.up_proj,89.72307252883911,6.309600010514259,6.3059592237395625,32,1704.0522745929418,dense_nvfp4,dense_nvfp4,5
sparse_nvfp4,mlp.up_proj,75.81833624839783,8.150208041071892,8.170478448271751,32,2167.4405485987663,sparse_nvfp4,sparse_nvfp4,6
dense_bf16,self_attn.k_proj,78.18198347091675,0.9792639967054129,0.893007485135909,32,306.8781561772789,dense_bf16,dense_bf16,1
marlin_nvfp4,self_attn.k_proj,76.4697277545929,1.628703996539116,1.5929878700164057,32,484.31033860531545,marlin_nvfp4,marlin_nvfp4,2
dense_nvfp4_prefill_marlin_decode,self_attn.k_proj,62.79852771759033,26.820415794849396,1.6128856765647088,32,500.9047910364405,dense_nvfp4,marlin_nvfp4,3
sparse_bf16,self_attn.k_proj,39.417343974113464,4.37219201028347,4.177624772873617,32,1109.0838530671695,sparse_bf16,sparse_bf16,4
dense_nvfp4,self_attn.k_proj,62.66790425777435,6.135327994823456,6.088774194640498,32,1621.4406518859248,dense_nvfp4,dense_nvfp4,5
sparse_nvfp4,self_attn.k_proj,57.385088086128235,8.070368021726608,8.14157935784709,32,2141.558192358863,sparse_nvfp4,sparse_nvfp4,6
marlin_nvfp4,self_attn.o_proj,76.6486713886261,0.6463359957560897,0.5340459362092999,32,213.47672111775364,marlin_nvfp4,marlin_nvfp4,1
dense_nvfp4_prefill_marlin_decode,self_attn.o_proj,62.65068805217743,25.157663881778717,0.5299809029205672,32,222.9534821787008,dense_nvfp4,marlin_nvfp4,2
dense_bf16,self_attn.o_proj,77.92073655128479,1.2389759942889214,1.154456775815737,32,373.54619037858663,dense_bf16,dense_bf16,3
sparse_bf16,self_attn.o_proj,39.80937623977661,2.3352960012853146,2.0601455405835183,32,567.481785089859,sparse_bf16,sparse_bf16,4
dense_nvfp4,self_attn.o_proj,62.71231997013092,3.390592008829117,3.010259612673713,32,833.7191132107569,dense_nvfp4,dense_nvfp4,5
sparse_nvfp4,self_attn.o_proj,57.41667187213898,3.822080008685589,3.668087740338618,32,996.6011256671721,sparse_nvfp4,sparse_nvfp4,6
dense_bf16,self_attn.q_proj,78.05171203613281,24.153248431161046,0.8796975499679965,32,326.527835709133,dense_bf16,dense_bf16,1
marlin_nvfp4,self_attn.q_proj,76.47331166267395,1.8693759888410568,1.8168990965331755,32,541.6519572674747,marlin_nvfp4,marlin_nvfp4,2
dense_nvfp4_prefill_marlin_decode,self_attn.q_proj,62.81561601161957,192.3414008617401,1.8455886440652032,32,725.7821211099865,dense_nvfp4,marlin_nvfp4,3
sparse_bf16,self_attn.q_proj,85.6207367181778,63.95705433189869,4.3722952282236465,32,1264.5130742471063,sparse_bf16,sparse_bf16,4
dense_nvfp4,self_attn.q_proj,62.75103986263275,6.482720002532005,6.4469078750379625,32,1713.195267999845,dense_nvfp4,dense_nvfp4,5
sparse_nvfp4,self_attn.q_proj,57.52630412578583,8.774719953536987,8.586218328725908,32,2255.7866979044293,sparse_nvfp4,sparse_nvfp4,6
dense_bf16,self_attn.v_proj,78.17827200889587,1.069855997338891,0.9118028392474498,32,311.75785201433445,dense_bf16,dense_bf16,1
marlin_nvfp4,self_attn.v_proj,76.47574400901794,1.5547200068831444,1.5257527753710747,32,467.09742173552513,marlin_nvfp4,marlin_nvfp4,2
