benchmark_level,shape_index,m,n,k,gpu,warmup,iters,torch_version,cuda_version,kernel,status,latency_ms,tflops,error_msg
nvfp4_conversion,0,1,6144,4096,0,10,40,2.9.0+cu128,12.8,canonical_to_cutlass,pass,0.024903,,
nvfp4_conversion,0,1,6144,4096,0,10,40,2.9.0+cu128,12.8,canonical_to_marlin,pass,0.390858,,
nvfp4_conversion,1,1,4096,4096,0,10,40,2.9.0+cu128,12.8,canonical_to_cutlass,pass,0.023785,,
nvfp4_conversion,1,1,4096,4096,0,10,40,2.9.0+cu128,12.8,canonical_to_marlin,pass,0.376086,,
nvfp4_conversion,2,1,28672,4096,0,10,40,2.9.0+cu128,12.8,canonical_to_cutlass,pass,0.030086,,
nvfp4_conversion,2,1,28672,4096,0,10,40,2.9.0+cu128,12.8,canonical_to_marlin,pass,0.864166,,
nvfp4_conversion,3,1,4096,14336,0,10,40,2.9.0+cu128,12.8,canonical_to_cutlass,pass,0.025102,,
nvfp4_conversion,3,1,4096,14336,0,10,40,2.9.0+cu128,12.8,canonical_to_marlin,pass,0.499262,,
