policy_id,e2e_median_ms,ttft_median_ms,measured_speedup_vs_dense,raw_predicted_speedup_vs_dense,predicted_delta_nll
point_000,2198.6881513148546,1149.3449360132217,1.0,1.0,0.0
point_001,2135.372456163168,1109.9555045366287,1.0296508906298492,1.0663358946652424,0.0
point_002,2126.9474886357784,1113.1859235465527,1.0337294000262744,1.1261067869795105,0.001830233880300655
point_003,2042.1365965157747,1058.5608426481485,1.076660667590103,1.1929761966467554,0.0029193262109224564
point_004,1909.6805192530155,989.301098510623,1.1513382103174443,1.3537504590529748,0.00821955234291661
point_005,1741.9374361634254,821.6358833014965,1.2622084500103583,1.64921566254508,0.019051284516168658
point_006,1664.4234154373407,772.9296013712883,1.3209908794374485,1.843666506521677,0.039423814649389266
point_007,2974.7099354863167,911.3340638577938,0.7391269061517438,2.2046494078946792,0.07789759520314035
point_008,1584.8229136317968,722.00489602983,1.3873399560309976,2.469672124475455,0.13015410266007602
point_009,1581.9628201425076,696.7040989547968,1.3898481831050813,2.557415450518858,0.21331661455026413
point_010,1614.0061616897583,668.418264016509,1.362255116184298,2.6502133507620305,0.3407016030793237
point_011,1547.9456167668104,661.0321532934904,1.420391083187566,2.690454860583271,0.37832787985828153
