method,policy,policy_kind,layer,linear_type,selected_modules,replaced_modules,runtime_path,activation_quantization,loss,loss_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_loss
dense_bf16,none,baseline,,,0,0,dense_bf16,none,2.9807259695870534,0.0,19.702114590190792,126,375.57147216796875,2.9807259695870534
dense_nvfp4,layer:0,layer,0,,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.978262886168465,-0.0024630834185885853,19.653646353591352,126,375.26112365722656,2.9807259695870534
dense_nvfp4,type:q_proj,type,,q_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.978262886168465,-0.0024630834185885853,19.653646353591352,126,375.26112365722656,2.9807259695870534
sparse_nvfp4,layer:0,layer,0,,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.9757689218672496,-0.004957047719803764,19.604691931861005,126,374.94688415527344,2.9807259695870534
sparse_nvfp4,type:q_proj,type,,q_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.9757689218672496,-0.004957047719803764,19.604691931861005,126,374.94688415527344,2.9807259695870534
dense_nvfp4,layer_type:0:q_proj,layer_type,0,q_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.978262886168465,-0.0024630834185885853,19.653646353591352,126,375.26112365722656,2.9807259695870534
sparse_nvfp4,layer_type:0:q_proj,layer_type,0,q_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.9757689218672496,-0.004957047719803764,19.604691931861005,126,374.94688415527344,2.9807259695870534
