method,policy,policy_kind,layer,linear_type,selected_modules,replaced_modules,runtime_path,activation_quantization,loss,loss_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_loss,module_name,module_family,numel,kernel_module_type,weight_mse,weight_rel_mse,weight_rmse_over_rms,weight_max_abs_error,output_mse,output_rel_mse,output_rmse_over_rms,output_max_abs_error
dense_nvfp4,layer_type:2:down_proj,layer_type,2,down_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9587939546066255,0.0009054997662509834,7.0907701155256895,65408,128120.79498291016,1.9578884548403745,model.layers.2.mlp.down_proj,mlp,45088768,NVFP4Linear,2.3202878236229165e-06,0.007515589351868319,0.08669249882122627,0.0263671875,1.1333324280826673e-05,0.014707507323229285,0.12127451225723106,0.15625
dense_nvfp4,layer_type:3:q_proj,layer_type,3,q_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9580679495040685,0.0001794946636939354,7.085624048502251,65408,128073.30844116211,1.9578884548403745,model.layers.3.self_attn.q_proj,attention,16777216,NVFP4Linear,4.768946837430121e-06,0.007516484391506553,0.08669766081911641,0.0283203125,0.00488193584169494,0.002934825260438163,0.05417402754492381,0.78125
dense_nvfp4,layer_type:3:k_proj,layer_type,3,k_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.958101718626377,0.00021326378600239337,7.085863327847481,65408,128075.51721191406,1.9578884548403745,model.layers.3.self_attn.k_proj,attention,16777216,NVFP4Linear,5.161557055544108e-06,0.007516392624863626,0.08669713158382823,0.0234375,0.005597625971859088,0.0023617480073551108,0.048597818956771205,0.875
dense_nvfp4,layer_type:3:v_proj,layer_type,3,v_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.958790382527092,0.0009019276867174852,7.0907447867761215,65408,128120.56134033203,1.9578884548403745,model.layers.3.self_attn.v_proj,attention,16777216,NVFP4Linear,1.393440243191435e-06,0.007530557591967048,0.08677878537964823,0.00927734375,0.0011561698256628006,0.016752634409775268,0.12943196826818043,0.2578125
dense_nvfp4,layer_type:3:o_proj,layer_type,3,o_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9580421522405516,0.00015369740017701083,7.0854412611492075,65408,128071.62109375,1.9578884548403745,model.layers.3.self_attn.o_proj,attention,16777216,NVFP4Linear,1.3388905699684983e-06,0.00755881358575752,0.08694143767938002,0.052734375,7.206530117542798e-06,0.009879009346318244,0.0993932057351922,0.1796875
dense_nvfp4,layer_type:3:gate_proj,layer_type,3,gate_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9576757322785439,-0.0002127225618306916,7.082845489631783,65408,128047.654296875,1.9578884548403745,model.layers.3.mlp.gate_proj,mlp,45088768,NVFP4Linear,2.6805898605109475e-06,0.007422527483508725,0.08615409150765113,0.02197265625,0.0005085669765194748,0.011559119076522162,0.10751334371380215,0.3125
dense_nvfp4,layer_type:3:up_proj,layer_type,3,up_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.957830304035702,-5.815080467264089e-05,7.083940382122342,65408,128057.76452636719,1.9578884548403745,model.layers.3.mlp.up_proj,mlp,45088768,NVFP4Linear,2.2952047211854436e-06,0.0074202553238113,0.08614090389478915,0.0186767578125,0.00042375041473776017,0.01609319142646066,0.12685894302910086,0.1444091796875
dense_nvfp4,layer_type:3:down_proj,layer_type,3,down_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9587069383572693,0.0008184835168947302,7.090153130149456,65408,128115.10342407227,1.9578884548403745,model.layers.3.mlp.down_proj,mlp,45088768,NVFP4Linear,2.3468061510018657e-06,0.007555567269761706,0.08692276611890412,0.028076171875,2.2634460023596148e-05,0.015392718687010172,0.12406739574525683,0.125
dense_nvfp4,layer_type:4:q_proj,layer_type,4,q_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9578898965495906,1.4417092160101674e-06,7.084362544516685,65408,128061.66235351562,1.9578884548403745,model.layers.4.self_attn.q_proj,attention,16777216,NVFP4Linear,5.1763013289019e-06,0.007501338441245131,0.08661026752784644,0.0263671875,0.004853751608607126,0.0030319271322853964,0.055062937919124845,0.6328125
dense_nvfp4,layer_type:4:k_proj,layer_type,4,k_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9576398537816833,-0.000248601058691289,7.082591372340819,65408,128045.30755615234,1.9578884548403745,model.layers.4.self_attn.k_proj,attention,16777216,NVFP4Linear,5.3936200856696814e-06,0.007495255693087407,0.08657514477658936,0.0234375,0.005484027351485565,0.0022677344875534607,0.04762073589890711,0.75
