method,layer,rows,loss_delta_mean,loss_delta_min,loss_delta_max
dense_nvfp4,0,1,0.0030498336672548643,0.0030498336672548643,0.0030498336672548643
dense_nvfp4,1,1,0.02328800268602471,0.02328800268602471,0.02328800268602471
dense_nvfp4,10,1,0.0011616145094779373,0.0011616145094779373,0.0011616145094779373
dense_nvfp4,11,1,0.0012715418044835225,0.0012715418044835225,0.0012715418044835225
dense_nvfp4,12,1,0.0013103699730800944,0.0013103699730800944,0.0013103699730800944
dense_nvfp4,13,1,0.0027501494450579145,0.0027501494450579145,0.0027501494450579145
dense_nvfp4,14,1,0.0018222350663634757,0.0018222350663634757,0.0018222350663634757
dense_nvfp4,15,1,0.001071291660376117,0.001071291660376117,0.001071291660376117
dense_nvfp4,16,1,0.0023568567697782594,0.0023568567697782594,0.0023568567697782594
dense_nvfp4,17,1,0.0023426165086182227,0.0023426165086182227,0.0023426165086182227
dense_nvfp4,18,1,0.00045502582408207815,0.00045502582408207815,0.00045502582408207815
dense_nvfp4,19,1,0.0016901301777758615,0.0016901301777758615,0.0016901301777758615
dense_nvfp4,2,1,0.004565536625931177,0.004565536625931177,0.004565536625931177
dense_nvfp4,20,1,0.0008243543994403968,0.0008243543994403968,0.0008243543994403968
dense_nvfp4,21,1,0.0022137431015940567,0.0022137431015940567,0.0022137431015940567
dense_nvfp4,22,1,0.0016241782798691595,0.0016241782798691595,0.0016241782798691595
dense_nvfp4,23,1,0.0014083394798980464,0.0014083394798980464,0.0014083394798980464
dense_nvfp4,24,1,-0.0004482824508458272,-0.0004482824508458272,-0.0004482824508458272
dense_nvfp4,25,1,0.003068670134721785,0.003068670134721785,0.003068670134721785
dense_nvfp4,26,1,0.0010153295475909818,0.0010153295475909818,0.0010153295475909818
dense_nvfp4,27,1,0.0016330473576973148,0.0016330473576973148,0.0016330473576973148
dense_nvfp4,28,1,0.0015371638968033619,0.0015371638968033619,0.0015371638968033619
dense_nvfp4,29,1,0.003324006168343052,0.003324006168343052,0.003324006168343052
dense_nvfp4,3,1,0.001562485256306978,0.001562485256306978,0.001562485256306978
dense_nvfp4,30,1,0.006366363943439701,0.006366363943439701,0.006366363943439701
dense_nvfp4,31,1,0.004076171994442657,0.004076171994442657,0.004076171994442657
dense_nvfp4,4,1,0.001504411902679692,0.001504411902679692,0.001504411902679692
dense_nvfp4,5,1,0.0014331830690985647,0.0014331830690985647,0.0014331830690985647
dense_nvfp4,6,1,0.001490454851064582,0.001490454851064582,0.001490454851064582
dense_nvfp4,7,1,0.00023068840489703923,0.00023068840489703923,0.00023068840489703923
dense_nvfp4,8,1,0.0019038208776724908,0.0019038208776724908,0.0019038208776724908
dense_nvfp4,9,1,0.002167372320962757,0.002167372320962757,0.002167372320962757
sparse_nvfp4,0,1,0.002298639245229328,0.002298639245229328,0.002298639245229328
sparse_nvfp4,1,1,0.030253294629360106,0.030253294629360106,0.030253294629360106
sparse_nvfp4,10,1,0.01637491508006117,0.01637491508006117,0.01637491508006117
sparse_nvfp4,11,1,0.00881188956258816,0.00881188956258816,0.00881188956258816
sparse_nvfp4,12,1,0.008416462317838214,0.008416462317838214,0.008416462317838214
sparse_nvfp4,13,1,0.01561487397569028,0.01561487397569028,0.01561487397569028
sparse_nvfp4,14,1,0.010851877776144159,0.010851877776144159,0.010851877776144159
sparse_nvfp4,15,1,0.012396818970980661,0.012396818970980661,0.012396818970980661
sparse_nvfp4,16,1,0.01683911652014447,0.01683911652014447,0.01683911652014447
sparse_nvfp4,17,1,0.01976591686913176,0.01976591686913176,0.01976591686913176
sparse_nvfp4,18,1,0.012417343031403627,0.012417343031403627,0.012417343031403627
sparse_nvfp4,19,1,0.018779489158884166,0.018779489158884166,0.018779489158884166
sparse_nvfp4,2,1,0.03176591727598299,0.03176591727598299,0.03176591727598299
sparse_nvfp4,20,1,0.018032594669588287,0.018032594669588287,0.018032594669588287
sparse_nvfp4,21,1,0.017122279407926655,0.017122279407926655,0.017122279407926655
sparse_nvfp4,22,1,0.019229755942835602,0.019229755942835602,0.019229755942835602
sparse_nvfp4,23,1,0.015802760880054167,0.015802760880054167,0.015802760880054167
sparse_nvfp4,24,1,0.010579113857620115,0.010579113857620115,0.010579113857620115
sparse_nvfp4,25,1,0.019786255233675165,0.019786255233675165,0.019786255233675165
sparse_nvfp4,26,1,0.016044958230333917,0.016044958230333917,0.016044958230333917
sparse_nvfp4,27,1,0.019216936861698786,0.019216936861698786,0.019216936861698786
sparse_nvfp4,28,1,0.019302348568014827,0.019302348568014827,0.019302348568014827
sparse_nvfp4,29,1,0.03829186489904002,0.03829186489904002,0.03829186489904002
sparse_nvfp4,3,1,0.0186940326616023,0.0186940326616023,0.0186940326616023
sparse_nvfp4,30,1,0.05055247267631624,0.05055247267631624,0.05055247267631624
sparse_nvfp4,31,1,0.0502691511538631,0.0502691511538631,0.0502691511538631
sparse_nvfp4,4,1,0.013297282552999112,0.013297282552999112,0.013297282552999112
sparse_nvfp4,5,1,0.013090203652876387,0.013090203652876387,0.013090203652876387
sparse_nvfp4,6,1,0.017093896399272168,0.017093896399272168,0.017093896399272168
sparse_nvfp4,7,1,0.009977657034439202,0.009977657034439202,0.009977657034439202
sparse_nvfp4,8,1,0.01303232532657983,0.01303232532657983,0.01303232532657983
sparse_nvfp4,9,1,0.01228699292222113,0.01228699292222113,0.01228699292222113
