family,policy,policy_json,policy_sha256,median_ms,measured_speedup,avg_nll,actual_delta_nll,speed_cv,speed_gpu_uuid,speed_measured_runs,predicted_delta_nll,raw_predicted_linear_ms,wikitext,winogrande,arc_easy,arc_challenge,mmlu
uniform,uniform_p00,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/policies/prefill_only/p00.json,4fe5d9b3312045952ae6d47b4806c88893446385dd13c42c3f5cd21f8913ee82,680.5386850610375,1.0,1.9755314327737294,0.0,0.0012970184790909844,305f915b-c789-ebb0-e184-56b64931412f,5,,,12.214106374612461,0.6795580110497238,0.7281144781144782,0.43430034129692835,0.4657456202820111
uniform,uniform_p01,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/policies/prefill_only/p01.json,a07b6bce45af4d2de802b36103bdab763c330fadcf2ee4ee609ca7bd4a250000,631.5881621558219,1.0775038638123475,2.0176340196659783,0.04210258689224888,0.001510339596168491,305f915b-c789-ebb0-e184-56b64931412f,5,,,12.885331839015178,0.6779794790844514,0.7112794612794613,0.431740614334471,0.44943740207947586
uniform,uniform_p02,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/policies/prefill_only/p02.json,187037641bd0d472314daa2b860c7472721077e38857e783c2cf2cc502adb126,518.7910429667681,1.3117780159990742,2.326417225904768,0.3508857931310385,0.0011609431301733309,305f915b-c789-ebb0-e184-56b64931412f,5,,,19.929714579437537,0.6345698500394633,0.6216329966329966,0.34726962457337884,0.27866400797607177
uniform,uniform_p03,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/policies/prefill_only/p03.json,43f405af3aa80597527f81f149eb889a75a8c8f50310395b1e553fc23ff1fcee,570.7686410751194,1.1923196827687512,3.016579633609964,1.0410482008362347,0.0018761654459294602,305f915b-c789-ebb0-e184-56b64931412f,5,,,52.27906653802246,0.5311760063141279,0.3792087542087542,0.24061433447098976,0.23251673550776242
uniform,uniform_p04,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/policies/prefill_only/p04.json,f50fa668d3fb28a5c646b3a3b18819da379e9d0490aad00bb522e4e3d71323eb,752.1240769419819,0.9048223636557424,2.001345147813749,0.025813715040019503,0.005025749201157158,305f915b-c789-ebb0-e184-56b64931412f,5,,,12.66891556023423,0.6819258089976322,0.7192760942760943,0.4308873720136519,0.4578407634240137
ours,point_000,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_000.json,44d534db48284df50e815c992c84d2da211e4c97d05ef6bdd1737beaae365039,682.1004799567163,0.9977103155010566,1.9755314327737294,0.0,0.0020912608375767304,305f915b-c789-ebb0-e184-56b64931412f,5,0.0,520.2821759999996,,,,,
ours,point_001,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_001.json,8d33217ef4d0f4038da80b53e9401d92f52edad510d07c3e1a9c987110e2d75c,675.6832848768681,1.0071859113475838,1.9782382888388963,0.0027068560651668516,0.002261837120262879,305f915b-c789-ebb0-e184-56b64931412f,5,0.001329620650462111,513.9255499999996,,,,,
ours,point_002,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_002.json,a8aa842b67bf70114313b81126349cd36312d8bfdb47163d806bcd6a760834b4,672.3947289865464,1.0121118678112868,1.9784860568326283,0.0029546240588989026,0.001519748406275694,305f915b-c789-ebb0-e184-56b64931412f,5,0.001994430975693166,510.74723699999953,,,,,
ours,point_003,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_003.json,838188b79155449f98d01af8afb9f21ccc666054b9327259cd64c9764305a263,668.2275449857116,1.0184235746755834,1.9781196365153857,0.0025882037416562476,0.0017105818185228672,305f915b-c789-ebb0-e184-56b64931412f,5,0.002659241300924222,507.5689239999995,,,,,
ours,point_004,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_004.json,ae216299fe2e057bf903bd10e348bae7ffaa07a759acb5dc417925c9a622b7a3,666.7374991811812,1.0206995795148848,1.9787372023437468,0.0032057695700173916,0.001834358376993904,305f915b-c789-ebb0-e184-56b64931412f,5,0.003324051626155277,504.3906109999995,,,,,
