source,label,kind,point_index,speedup,e2e_ms,conditional_nll,rougeL,quality_cost
012_original,P0,pareto,0,1.0,9025.964805603027,1.4889051200098955,0.1613715920112054,0.0
012_original,P1,pareto,1,1.0082740979151552,8951.895942052206,1.4858245095820697,0.1610594696951693,0.07939888550017404
012_original,P2,pareto,2,1.0120838091379618,8918.19899113973,1.4870388782709427,0.16111999805560895,0.1584072161624477
012_original,P3,pareto,3,1.0009856254270293,9017.07734489441,1.4926724486124925,0.16115700611783693,0.32589587390637925
012_original,P4,pareto,4,1.0058356136651228,8973.598352432251,1.4897564143419588,0.16122570353176907,0.6480965810581958
012_original,P5,pareto,5,1.0174566949826862,8871.104637781778,1.485885310977976,0.16090825499274386,1.3054874738344142
012_original,P6,pareto,6,1.058779809901761,8524.874313990274,1.4822082491712154,0.16116888882872552,2.597271027163946
012_original,P7,pareto,7,1.082139834028535,8340.848864237467,1.4816577396184964,0.16113622208957443,5.297421781931477
012_original,P8,pareto,8,1.1552745289830275,7812.8311316172285,1.4684155689543235,0.1601296275726197,10.4522982016115
012_original,P9,pareto,9,1.2206899611802606,7394.1501057942705,1.473034934303125,0.16099907207766,16.530083108272944
012_original,dense_bf16,uniform,,1.002367192392251,9004.649068832397,1.4889051200098955,0.1613715920112054,0.0
012_original,dense_nvfp4,uniform,,0.601968275922303,14994.08717473348,1.4824177007236858,0.1612061026445633,16.530083108272944
012_original,sparse_bf16,uniform,,0.8829666564488208,10222.31670888265,1.6584258065597224,0.1526632832784141,nan
012_original,sparse_nvfp4,uniform,,0.544833350771569,16566.46898142497,2.528721604088265,0.09743209916027967,nan
012_original,marlin_nvfp4,uniform,,1.2021847405384902,7507.968202590942,1.4722348786557249,0.1606404214090814,16.530083108272944
012_original,dense_nvfp4_prefill_marlin_decode,uniform,,1.2376320735509339,7292.930587768555,1.477486153838838,0.16059879637697141,16.530083108272944
013_targeted,C3,calibrated,3,1.129492875651573,7985.6164894104,1.4822473396961684,0.1602710637567769,0.034153521175501425
013_targeted,C4,calibrated,4,1.1759479516231566,7670.149788538615,1.4687181873608555,0.16094176344396374,0.04832802973029022
013_targeted,C5,calibrated,5,1.1994446484958534,7519.894264221191,1.4722797667486422,0.15947249675868322,0.06307385884194772
