policy_id,policy_json,repaired_unsupported_actions,raw_predicted_prefill_ms,raw_predicted_decode_ms,raw_predicted_linear_ms,e2e_median_ms,e2e_samples_ms,split,raw_dense_scaled_ms,monotone_prediction_ms
p00,/root/wja/project/my/cospaq/fake/artifacts/debug/057_llama31_8b_instruct_b8_o64_canonical_pareto/llama31_8b_instruct/speed/calibration/policies/p00.json,0,1216.969143308492,12.715770483444695,2018.0626837655077,2193.378845229745,"[2149.221356958151, 2188.8998802751303, 2193.378845229745, 2193.4842877089977, 2195.849733427167]",train,2193.378845229745,2550.995389620463
p01,/root/wja/project/my/cospaq/fake/artifacts/debug/057_llama31_8b_instruct_b8_o64_canonical_pareto/llama31_8b_instruct/speed/calibration/policies/p01.json,0,556.1050766312494,20.109516268410186,1823.004601541091,2641.5738202631474,"[2740.536468103528, 2641.5738202631474, 2614.0237767249346, 2629.615155979991, 2692.1684946864843]",train,1981.375385384871,2550.995389620463
p02,/root/wja/project/my/cospaq/fake/artifacts/debug/057_llama31_8b_instruct_b8_o64_canonical_pareto/llama31_8b_instruct/speed/calibration/policies/p02.json,0,590.347545763784,13.262116861868169,1425.8609080614785,1937.578434124589,"[1937.840823084116, 1935.2705609053373, 1937.578434124589, 1932.6538294553757, 1951.0694071650505]",train,1549.7304306457913,1937.578434124589
p03,/root/wja/project/my/cospaq/fake/artifacts/debug/057_llama31_8b_instruct_b8_o64_canonical_pareto/llama31_8b_instruct/speed/calibration/policies/p03.json,128,470.8779342093643,20.109516268410186,1737.777459119206,2770.355138927698,"[2763.8743314892054, 2816.891096532345, 2770.355138927698, 2748.8268110901117, 2771.026749163866]",train,1888.7442631053875,2453.510794788599
p04,/root/wja/project/my/cospaq/fake/artifacts/debug/057_llama31_8b_instruct_b8_o64_canonical_pareto/llama31_8b_instruct/speed/calibration/policies/p04.json,0,1162.2817865902227,5.576614211312529,1513.608481902912,1992.981756106019,"[2007.9816486686468, 2004.6280082315207, 1992.3005178570747, 1986.8116471916437, 1992.981756106019]",train,1645.1009430348895,1992.981756106019
p07,/root/wja/project/my/cospaq/fake/artifacts/debug/057_llama31_8b_instruct_b8_o64_canonical_pareto/llama31_8b_instruct/speed/calibration/policies/p07.json,3,1102.7698135294245,13.408821575303747,1947.5255727735607,2818.033503368497,"[2800.8750043809414, 2816.5056370198727, 2825.2896163612604, 2818.033503368497, 2848.0460233986378]",train,2116.71392877399,2550.995389620463
p21,/root/wja/project/my/cospaq/fake/artifacts/debug/057_llama31_8b_instruct_b8_o64_canonical_pareto/llama31_8b_instruct/speed/calibration/policies/p21.json,0,1051.7531266391813,12.21957899755036,1821.586603484854,2136.6664506495,"[2134.1567803174257, 2171.195661649108, 2132.2103198617697, 2136.6664506495, 2142.4290630966425]",train,1979.83420087948,2453.510794788599
p37,/root/wja/project/my/cospaq/fake/artifacts/debug/057_llama31_8b_instruct_b8_o64_canonical_pareto/llama31_8b_instruct/speed/calibration/policies/p37.json,5,1139.8615986955176,13.46113158041887,1987.9128882619066,2620.4467080533504,"[2607.647253200412, 2605.2479073405266, 2634.176129475236, 2620.4467080533504, 2692.685555666685]",holdout,2160.609831572444,2550.995389620463
p05,/root/wja/project/my/cospaq/fake/artifacts/debug/057_llama31_8b_instruct_b8_o64_canonical_pareto/llama31_8b_instruct/speed/calibration/policies/p05.json,0,1180.6095257257377,10.930981415411654,1869.261354896672,2262.0676644146442,"[2254.2205415666103, 2262.0676644146442, 2272.6657558232546, 2260.2978460490704, 2268.372740596533]",holdout,2031.650624640487,2550.995389620463
p24,/root/wja/project/my/cospaq/fake/artifacts/debug/057_llama31_8b_instruct_b8_o64_canonical_pareto/llama31_8b_instruct/speed/calibration/policies/p24.json,8,1203.2973041289247,13.97360405354656,2083.634359502358,3000.50344504416,"[3009.9341440945864, 3000.50344504416, 2999.515200033784, 2988.7175112962723, 3906.548807397485]",holdout,2264.6469617082244,2550.995389620463
p18,/root/wja/project/my/cospaq/fake/artifacts/debug/057_llama31_8b_instruct_b8_o64_canonical_pareto/llama31_8b_instruct/speed/calibration/policies/p18.json,0,1207.5022393084919,14.564206929686069,2125.047275878714,2573.256069794297,"[2953.833904117346, 2573.256069794297, 2570.619311183691, 2568.534754216671, 2726.467415690422]",holdout,2309.6575629298272,2550.995389620463
p23,/root/wja/project/my/cospaq/fake/artifacts/debug/057_llama31_8b_instruct_b8_o64_canonical_pareto/llama31_8b_instruct/speed/calibration/policies/p23.json,4,1030.44634103371,13.377056107211958,1873.2008757880635,2842.0365806668997,"[2696.727989241481, 3047.924019396305, 3479.0663681924343, 2842.0365806668997, 2634.0141724795103]",holdout,2035.9323854861887,2550.995389620463
