key,policy_index,batch_size_for_policy,point_index,policy_json,label,nll,nll_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_nll,replaced_linear_count,skipped_linear_count,backend_counts,runtime_skipped,sample_limit,batch_size,calib_samples,loss_definition
policy_000,0,,,artifacts/debug/024_fakevlm_prefill_global_pareto/smoke/policies/stratified/policy_000_dense.json,dense,16.3021717072,0.0000000000,12021072.4732278194,163,2657.253988,16.3021717072,0,0,{'dense_bf16': 2},[],1,1,1,assistant_answer_token_nll
policy_002,2,,,artifacts/debug/024_fakevlm_prefill_global_pareto/smoke/policies/stratified/policy_002_dense_nvfp4_r0.05.json,dense_nvfp4_ratio_0.05,16.3021717072,-0.0000000000,12021072.4732278194,163,2657.253988,16.3021717072,0,0,{'dense_bf16': 2},[],1,1,1,assistant_answer_token_nll
