label,nll,nll_delta_vs_dense,arc_acc,arc_acc_norm,arc_sample_len,backend_counts,source
all_dense_bf16,2.039499126068533,0.0,0.4291808873720136,0.4513651877133106,1172,{'dense_bf16': 224},018_uniform_full_arc_c
all_dense_nvfp4,2.1214742753836973,0.08197514931516414,0.4163822525597269,0.4377133105802048,1172,{'dense_nvfp4': 224},018_uniform_full_arc_c
all_sparse_bf16,2.389798416316859,0.35029929024832596,0.2969283276450511,0.3378839590443686,1172,{'sparse_bf16': 224},018_uniform_full_arc_c
all_sparse_nvfp4,3.357909790457112,1.318410664388579,0.1843003412969283,0.2286689419795221,1172,{'sparse_nvfp4': 224},018_uniform_full_arc_c
