name,n,k,count,selected_prefill_backend,selected_decode_backend,selected_total_ms,selected_prefill_ms,selected_decode_ms,selected_conversion_ms,reason
layers.0.self_attn.q_proj,4096,4096,1,dense_nvfp4,marlin_nvfp4,11.542374,1.969835,0.035496,0.485563,
layers.0.self_attn.k_proj,1024,4096,1,dense_bf16,dense_bf16,7.023576,0.765144,0.024447,0.0,
layers.0.self_attn.v_proj,1024,4096,1,dense_bf16,dense_bf16,7.023576,0.765144,0.024447,0.0,
layers.0.self_attn.o_proj,4096,4096,1,dense_nvfp4,marlin_nvfp4,11.542374,1.969835,0.035496,0.485563,
layers.0.mlp.gate_proj,14336,4096,1,dense_nvfp4,marlin_nvfp4,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,
layers.0.mlp.up_proj,14336,4096,1,dense_nvfp4,marlin_nvfp4,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,
layers.0.mlp.down_proj,4096,14336,1,dense_nvfp4,marlin_nvfp4,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,
layers.1.self_attn.q_proj,4096,4096,1,dense_nvfp4,marlin_nvfp4,11.542374,1.969835,0.035496,0.485563,
layers.1.self_attn.k_proj,1024,4096,1,dense_bf16,dense_bf16,7.023576,0.765144,0.024447,0.0,
layers.1.self_attn.v_proj,1024,4096,1,dense_bf16,dense_bf16,7.023576,0.765144,0.024447,0.0,
layers.1.self_attn.o_proj,4096,4096,1,dense_nvfp4,marlin_nvfp4,11.542374,1.969835,0.035496,0.485563,
layers.1.mlp.gate_proj,14336,4096,1,dense_nvfp4,marlin_nvfp4,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,
layers.1.mlp.up_proj,14336,4096,1,dense_nvfp4,marlin_nvfp4,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,
layers.1.mlp.down_proj,4096,14336,1,dense_nvfp4,marlin_nvfp4,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,
layers.2.self_attn.q_proj,4096,4096,1,dense_nvfp4,marlin_nvfp4,11.542374,1.969835,0.035496,0.485563,
layers.2.self_attn.k_proj,1024,4096,1,dense_bf16,dense_bf16,7.023576,0.765144,0.024447,0.0,
layers.2.self_attn.v_proj,1024,4096,1,dense_bf16,dense_bf16,7.023576,0.765144,0.024447,0.0,
layers.2.self_attn.o_proj,4096,4096,1,dense_nvfp4,marlin_nvfp4,11.542374,1.969835,0.035496,0.485563,
layers.2.mlp.gate_proj,14336,4096,1,dense_nvfp4,marlin_nvfp4,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,
layers.2.mlp.up_proj,14336,4096,1,dense_nvfp4,marlin_nvfp4,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,
layers.2.mlp.down_proj,4096,14336,1,dense_nvfp4,marlin_nvfp4,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,
layers.3.self_attn.q_proj,4096,4096,1,dense_nvfp4,marlin_nvfp4,11.542374,1.969835,0.035496,0.485563,
layers.3.self_attn.k_proj,1024,4096,1,dense_bf16,dense_bf16,7.023576,0.765144,0.024447,0.0,
layers.3.self_attn.v_proj,1024,4096,1,dense_bf16,dense_bf16,7.023576,0.765144,0.024447,0.0,
layers.3.self_attn.o_proj,4096,4096,1,dense_nvfp4,marlin_nvfp4,11.542374,1.969835,0.035496,0.485563,
layers.3.mlp.gate_proj,14336,4096,1,dense_nvfp4,marlin_nvfp4,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,
layers.3.mlp.up_proj,14336,4096,1,dense_nvfp4,marlin_nvfp4,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,
layers.3.mlp.down_proj,4096,14336,1,dense_nvfp4,marlin_nvfp4,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,
layers.4.self_attn.q_proj,4096,4096,1,dense_nvfp4,marlin_nvfp4,11.542374,1.969835,0.035496,0.485563,
layers.4.self_attn.k_proj,1024,4096,1,dense_bf16,dense_bf16,7.023576,0.765144,0.024447,0.0,
layers.4.self_attn.v_proj,1024,4096,1,dense_bf16,dense_bf16,7.023576,0.765144,0.024447,0.0,
layers.4.self_attn.o_proj,4096,4096,1,dense_nvfp4,marlin_nvfp4,11.542374,1.969835,0.035496,0.485563,
layers.4.mlp.gate_proj,14336,4096,1,dense_nvfp4,marlin_nvfp4,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,
layers.4.mlp.up_proj,14336,4096,1,dense_nvfp4,marlin_nvfp4,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,
layers.4.mlp.down_proj,4096,14336,1,dense_nvfp4,marlin_nvfp4,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,
layers.5.self_attn.q_proj,4096,4096,1,dense_nvfp4,marlin_nvfp4,11.542374,1.969835,0.035496,0.485563,
layers.5.self_attn.k_proj,1024,4096,1,dense_bf16,dense_bf16,7.023576,0.765144,0.024447,0.0,
layers.5.self_attn.v_proj,1024,4096,1,dense_bf16,dense_bf16,7.023576,0.765144,0.024447,0.0,
layers.5.self_attn.o_proj,4096,4096,1,dense_nvfp4,marlin_nvfp4,11.542374,1.969835,0.035496,0.485563,
layers.5.mlp.gate_proj,14336,4096,1,dense_nvfp4,marlin_nvfp4,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,
layers.5.mlp.up_proj,14336,4096,1,dense_nvfp4,marlin_nvfp4,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,
layers.5.mlp.down_proj,4096,14336,1,dense_nvfp4,marlin_nvfp4,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,
layers.6.self_attn.q_proj,4096,4096,1,dense_nvfp4,marlin_nvfp4,11.542374,1.969835,0.035496,0.485563,
layers.6.self_attn.k_proj,1024,4096,1,dense_bf16,dense_bf16,7.023576,0.765144,0.024447,0.0,
layers.6.self_attn.v_proj,1024,4096,1,dense_bf16,dense_bf16,7.023576,0.765144,0.024447,0.0,
layers.6.self_attn.o_proj,4096,4096,1,dense_nvfp4,marlin_nvfp4,11.542374,1.969835,0.035496,0.485563,
layers.6.mlp.gate_proj,14336,4096,1,dense_nvfp4,marlin_nvfp4,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,
layers.6.mlp.up_proj,14336,4096,1,dense_nvfp4,marlin_nvfp4,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,
layers.6.mlp.down_proj,4096,14336,1,dense_nvfp4,marlin_nvfp4,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,
layers.7.self_attn.q_proj,4096,4096,1,dense_nvfp4,marlin_nvfp4,11.542374,1.969835,0.035496,0.485563,
layers.7.self_attn.k_proj,1024,4096,1,dense_bf16,dense_bf16,7.023576,0.765144,0.024447,0.0,
layers.7.self_attn.v_proj,1024,4096,1,dense_bf16,dense_bf16,7.023576,0.765144,0.024447,0.0,
layers.7.self_attn.o_proj,4096,4096,1,dense_nvfp4,marlin_nvfp4,11.542374,1.969835,0.035496,0.485563,
layers.7.mlp.gate_proj,14336,4096,1,dense_nvfp4,marlin_nvfp4,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,
layers.7.mlp.up_proj,14336,4096,1,dense_nvfp4,marlin_nvfp4,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,
layers.7.mlp.down_proj,4096,14336,1,dense_nvfp4,marlin_nvfp4,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,
layers.8.self_attn.q_proj,4096,4096,1,dense_nvfp4,marlin_nvfp4,11.542374,1.969835,0.035496,0.485563,
layers.8.self_attn.k_proj,1024,4096,1,dense_bf16,dense_bf16,7.023576,0.765144,0.024447,0.0,
layers.8.self_attn.v_proj,1024,4096,1,dense_bf16,dense_bf16,7.023576,0.765144,0.024447,0.0,
layers.8.self_attn.o_proj,4096,4096,1,dense_nvfp4,marlin_nvfp4,11.542374,1.969835,0.035496,0.485563,
layers.8.mlp.gate_proj,14336,4096,1,dense_nvfp4,marlin_nvfp4,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,
layers.8.mlp.up_proj,14336,4096,1,dense_nvfp4,marlin_nvfp4,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,
layers.8.mlp.down_proj,4096,14336,1,dense_nvfp4,marlin_nvfp4,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,
layers.9.self_attn.q_proj,4096,4096,1,dense_nvfp4,marlin_nvfp4,11.542374,1.969835,0.035496,0.485563,
layers.9.self_attn.k_proj,1024,4096,1,dense_bf16,dense_bf16,7.023576,0.765144,0.024447,0.0,
layers.9.self_attn.v_proj,1024,4096,1,dense_bf16,dense_bf16,7.023576,0.765144,0.024447,0.0,
layers.9.self_attn.o_proj,4096,4096,1,dense_nvfp4,marlin_nvfp4,11.542374,1.969835,0.035496,0.485563,
layers.9.mlp.gate_proj,14336,4096,1,dense_nvfp4,marlin_nvfp4,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,
layers.9.mlp.up_proj,14336,4096,1,dense_nvfp4,marlin_nvfp4,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,
layers.9.mlp.down_proj,4096,14336,1,dense_nvfp4,marlin_nvfp4,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,
