name,point_index,predicted_total_latency_ms,predicted_prefill_latency_ms,predicted_decode_latency_ms,predicted_conversion_latency_ms,quality_cost,e2e_total_mean_ms,e2e_speedup_vs_dense,e2e_prefill_mean_ms,e2e_decode_avg_mean_ms,e2e_decode_first_mean_ms,backend_counts
dense_bf16_pareto0,0,4482.01656869652,1077.7635484021937,3404.2530202943262,0.0,0.0,7070.664476394653,1.0,1588.3136800130208,21.415432798365753,34.16244252522787,{'bf16': 224}
pareto7,7,3059.444580701129,709.0892056981485,2302.5127154373386,47.84265956564186,5.7713891227648855,7324.995407740275,0.9652790319736075,1282.845458984375,23.602148237327736,97.86534372965495,"{'bf16': 151, 'dense_nvfp4/marlin_nvfp4': 73}"
pareto9,9,2621.10883072227,630.4423197290528,1927.793156773901,62.873354219316184,14.224095701496756,7342.809940973918,0.9629371498422349,1229.3330078125,23.88076927016179,50.80509885152181,"{'marlin_nvfp4': 64, 'bf16': 64, 'dense_nvfp4/marlin_nvfp4': 96}"
dense_nvfp4_all,0,8797.293829273747,657.4411037290528,8139.852725544694,0.0,18.06786415453512,11688.122481028238,0.604944420104385,1256.2666422526042,40.74943687021732,52.496543884277344,{'dense_nvfp4': 224}
marlin_nvfp4_all,0,3126.1157430974454,1012.2740743235444,2113.841668773901,0.0,18.06786415453512,6448.06585375468,1.096555872219797,1596.2040608723958,18.95258512844642,31.223744074503582,{'marlin_nvfp4': 224}
hybrid_all,0,2895.69251072227,657.4411037290528,2113.841668773901,124.40973821931618,18.06786415453512,6576.937000274658,1.0750695158094683,1257.5775960286458,20.778747672835987,142.19807879130045,{'dense_nvfp4/marlin_nvfp4': 224}
