source,feature,rows,pearson,spearman,rmse_linear_fit
controlled_genimage_partial,sum_sparse_bf16_local_rel_mse,40,0.40374727626073037,0.6020291970510223,0.020697103806120432
controlled_genimage_partial,sparse_ratio,40,0.3990343968027532,0.5856010505066351,0.020743829322379177
controlled_genimage_partial,count_sparse_bf16,40,0.39903439680275316,0.5856010505066351,0.020743829322379174
controlled_genimage_partial,non_sparse_count,40,-0.39903439680275316,-0.5856010505066351,0.020743829322379174
controlled_genimage_partial,predicted_quality_cost,40,0.38988881714590834,0.5757599053999972,0.020832646741378878
controlled_genimage_partial,method_diversity,40,-0.11363871290534672,-0.057321373752573755,0.022476437459073306
full_supplemental,predicted_quality_cost,6,0.9546317721350381,1.0,0.008097522326868885
full_supplemental,sum_sparse_bf16_local_rel_mse,6,0.9541839810644572,1.0,0.008136453910723707
full_supplemental,sparse_ratio,6,0.9542001829792572,1.0,0.0081350488599368
full_supplemental,count_sparse_bf16,6,0.9542001829792571,1.0,0.008135048859936803
full_supplemental,non_sparse_count,6,-0.9542001829792571,-1.0,0.008135048859936805
full_supplemental,method_diversity,6,0.0,0.0,0.027192163909568877
full_theoretical,predicted_quality_cost,12,0.8317929331282992,0.8881118881118881,0.047235113301460414
full_theoretical,sum_sparse_bf16_local_rel_mse,12,0.8578340177313827,0.8881118881118881,0.04373266599881245
full_theoretical,sparse_ratio,12,0.8546563568768561,0.8881118881118881,0.04418088387356694
full_theoretical,count_sparse_bf16,12,0.854656356876856,0.8881118881118881,0.04418088387356694
full_theoretical,non_sparse_count,12,-0.854656356876856,-0.8881118881118881,0.04418088387356693
full_theoretical,method_diversity,12,0.0,0.0,0.08509511957687954
full_uniform,sum_sparse_bf16_local_rel_mse,3,1.0,1.0,0.0
full_uniform,sparse_ratio,3,0.9999999999999999,1.0,1.1331166295920986e-17
full_uniform,count_sparse_bf16,3,1.0,1.0,5.665583147960493e-18
full_uniform,non_sparse_count,3,-0.9999999999999999,-1.0,2.2662332591841973e-17
full_uniform,predicted_quality_cost,3,0.9999697065140455,0.8660254037844387,0.0005376987870769911
full_uniform,method_diversity,3,0.0,0.0,0.06908006256709721
genimage_partial,predicted_quality_cost,139,0.06898089739460216,0.31033837311493223,0.009881363494308333
genimage_partial,sum_sparse_bf16_local_rel_mse,139,0.5037084073542272,0.18642579010639032,0.00855663251000283
genimage_partial,method_diversity,139,-0.1317102842741507,0.13279130200094802,0.009818667812292008
genimage_partial,sparse_ratio,139,0.48150818212238994,0.13255306582434134,0.0086811165735205
genimage_partial,count_sparse_bf16,139,0.4815081821223899,0.13255306582434134,0.0086811165735205
genimage_partial,non_sparse_count,139,-0.4815081821223899,-0.13255306582434134,0.0086811165735205
