count_sparse_bf16,policies,nll_min,nll_max,nll_range,nll_mean,predicted_cost_min,predicted_cost_max,predicted_cost_range,best_label,worst_label,labels
32,7,0.052861498825,0.08732940441249999,0.03446790558749999,0.06281971981607143,0.005204360049683334,0.008957810199600862,0.0037534501499175282,type_gate_proj,type_o_proj,"type_v_proj,type_o_proj,type_gate_proj,type_q_proj,type_up_proj,type_k_proj,type_down_proj"
45,5,0.056463825125,0.06003967005,0.003575844925000002,0.058573182857499996,0.003340167330600587,0.010838535599578,0.007498368268977413,random_count_45_seed_37,speed_count_45,"random_count_45_seed_23,random_count_45_seed_37,lowerr_count_45,speed_count_45,random_count_45_seed_11"
56,4,0.0562280764375,0.10428530269999998,0.04805722626249998,0.07360374168125,0.00513508893355351,0.016120649351942597,0.010985560418389087,layer_24_31,layer_08_15,"layer_24_31,layer_00_07,layer_08_15,layer_16_23"
78,5,0.0546221586375,0.0918728007625,0.037250642125,0.0637241905525,0.009618812245966162,0.01835115426431813,0.00873234201835197,random_count_78_seed_11,speed_count_78,"random_count_78_seed_23,random_count_78_seed_37,lowerr_count_78,speed_count_78,random_count_78_seed_11"
112,5,0.0559425760125,0.13922708142499998,0.08328450541249999,0.07616262422,0.01653736453185023,0.024319738693132562,0.007782374161282333,lowerr_count_112,speed_count_112,"random_count_112_seed_23,random_count_112_seed_37,lowerr_count_112,speed_count_112,random_count_112_seed_11"
157,5,0.06366915823750001,0.0913990079125,0.027729849674999987,0.0750742103125,0.02661087777474311,0.03485740017188909,0.008246522397145978,lowerr_count_157,speed_count_157,"random_count_157_seed_23,random_count_157_seed_37,lowerr_count_157,speed_count_157,random_count_157_seed_11"
190,5,0.07827862414999999,0.0986945708625,0.020415946712500008,0.08568340147,0.036573766595545246,0.04097114450724742,0.004397377911702173,random_count_190_seed_11,speed_count_190,"random_count_190_seed_23,random_count_190_seed_37,lowerr_count_190,speed_count_190,random_count_190_seed_11"
