m,n,k,latency_ms,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,samples,tflops,latency_q25_ms,latency_q75_ms,latency_iqr_ms,dense_flops,effective_sparse_flops,bytes_activation_bf16,bytes_output_bf16,bytes_weight_sparse_bf16,bytes_sparse_bf16,arithmetic_intensity_sparse
16,4096,4096,0.057158,0.057158,0.0,0.057158,0.057158,1,9.392686,0.057158,0.057158,0.0,536870912.0,268435456.0,131072.0,131072.0,18874365.640704293,19136509.640704293,14.027398989679114
16,4096,11008,0.112125,0.112125,0.0,0.112125,0.112125,1,12.868166,0.112125,0.112125,0.0,1442840576.0,721420288.0,352256.0,131072.0,50724857.65939279,51208185.65939279,14.087987666629514
16,12288,4096,0.060606,0.060606,0.0,0.060606,0.060606,1,26.574961,0.060606,0.060606,0.0,1610612736.0,805306368.0,131072.0,393216.0,56623096.92211288,57147384.92211288,14.091744864573688
16,22016,4096,0.05908,0.05908,0.0,0.05908,0.05908,1,48.843621,0.05908,0.05908,0.0,2885681152.0,1442840576.0,131072.0,704512.0,101449715.31878558,102285299.31878558,14.106040512265578
16384,4096,4096,1.042707,1.042707,0.0,1.042707,1.042707,1,527.238914,1.042707,1.042707,0.0,549755813888.0,274877906944.0,134217728.0,134217728.0,18874365.640704293,287309821.6407043,956.7299348636573
16384,4096,11008,2.506685,2.506685,0.0,2.506685,2.506685,1,589.411466,2.506685,2.506685,0.0,1477468749824.0,738734374912.0,360710144.0,134217728.0,50724857.65939279,545652729.6593928,1353.8544476321645
16384,12288,4096,2.818371,2.818371,0.0,2.818371,2.818371,1,585.184606,2.818371,2.818371,0.0,1649267441664.0,824633720832.0,134217728.0,402653184.0,56623096.92211288,593494008.922113,1389.455846959056
16384,22016,4096,4.80897,4.80897,0.0,4.80897,4.80897,1,614.463749,4.80897,4.80897,0.0,2954937499648.0,1477468749824.0,134217728.0,721420288.0,101449715.31878558,957087731.3187855,1543.7129758085746
32768,4096,4096,1.920965,1.920965,0.0,1.920965,1.920965,1,572.374687,1.920965,1.920965,0.0,1099511627776.0,549755813888.0,268435456.0,268435456.0,18874365.640704293,555745277.6407043,989.2226457089636
32768,4096,11008,4.813088,4.813088,0.0,4.813088,4.813088,1,613.937979,4.813088,4.813088,0.0,2954937499648.0,1477468749824.0,721420288.0,268435456.0,50724857.65939279,1040580601.6593928,1419.8503676389032
32768,12288,4096,5.351146,5.351146,0.0,5.351146,5.351146,1,616.416582,5.351146,5.351146,0.0,3298534883328.0,1649267441664.0,268435456.0,805306368.0,56623096.92211288,1130364920.922113,1459.0575230506836
32768,22016,4096,9.849757,9.849757,0.0,9.849757,9.849757,1,600.002123,9.849757,9.849757,0.0,5909874999296.0,2954937499648.0,268435456.0,1442840576.0,101449715.31878558,1812725747.3187857,1630.1073143682474
