batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,1096.921207383275,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,1100.648993626237,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,1095.2931232750416,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,1095.9637127816677,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,1097.3398871719837,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,1094.0101388841867,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,2291.675692424178,2048,0,ours_max_speed,64,main,prefill_decode,True
8,3566.8385177850723,2048,1,ours_max_speed,64,main,prefill_decode,False
8,2414.4424069672823,2048,2,ours_max_speed,64,main,prefill_decode,False
8,2296.7015374451876,2048,3,ours_max_speed,64,main,prefill_decode,False
8,2316.8268240988255,2048,4,ours_max_speed,64,main,prefill_decode,False
8,2301.613813266158,2048,5,ours_max_speed,64,main,prefill_decode,False
