m,n,k,latency_ms,tflops,source_file
16384,12288,4096,4.185632,394.030685,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16384/targeted_profile.csv
16384,4096,4096,1.364185,402.992235,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16384/targeted_profile.csv
16384,22016,4096,7.582974,389.680532,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16384/targeted_profile.csv
16384,4096,11008,3.707412,398.517603,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16384/targeted_profile.csv
32768,12288,4096,8.535744,386.437888,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m32768/targeted_profile.csv
32768,4096,4096,2.796354,393.194686,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m32768/targeted_profile.csv
32768,22016,4096,15.205535,388.666025,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m32768/targeted_profile.csv
32768,4096,11008,7.593372,389.146917,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m32768/targeted_profile.csv
16,12288,4096,0.041148,39.141792,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16/targeted_profile.csv
16,4096,4096,0.033249,16.146999,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16/targeted_profile.csv
16,22016,4096,0.136519,21.137622,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16/targeted_profile.csv
16,4096,11008,0.065044,22.182368,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16/targeted_profile.csv
