m,n,k,latency_ms,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,samples,tflops,latency_q25_ms,latency_q75_ms,latency_iqr_ms,flops,bytes_bf16,arithmetic_intensity
16,4096,4096,0.033249,0.033249,0.0,0.033249,0.033249,1,16.146999,0.033249,0.033249,0.0,536870912.0,33816576.0,15.875968992248062
16,4096,11008,0.065044,0.065044,0.0,0.065044,0.065044,1,22.182368,0.065044,0.065044,0.0,1442840576.0,90660864.0,15.914701364416734
16,12288,4096,0.041148,0.041148,0.0,0.041148,0.041148,1,39.141792,0.041148,0.041148,0.0,1610612736.0,101187584.0,15.917098445595855
16,22016,4096,0.136519,0.136519,0.0,0.136519,0.136519,1,21.137622,0.136519,0.136519,0.0,2885681152.0,181190656.0,15.92621394339452
16384,4096,4096,1.364185,1.364185,0.0,1.364185,1.364185,1,402.992235,1.364185,1.364185,0.0,549755813888.0,301989888.0,1820.4444444444443
16384,4096,11008,3.707412,3.707412,0.0,3.707412,3.707412,1,398.517603,3.707412,3.707412,0.0,1477468749824.0,585105408.0,2525.1326164874554
16384,12288,4096,4.185632,4.185632,0.0,4.185632,4.185632,1,394.030685,4.185632,4.185632,0.0,1649267441664.0,637534208.0,2586.9473684210525
16384,22016,4096,7.582974,7.582974,0.0,7.582974,7.582974,1,389.680532,7.582974,7.582974,0.0,2954937499648.0,1035993088.0,2852.275303643725
32768,4096,4096,2.796354,2.796354,0.0,2.796354,2.796354,1,393.194686,2.796354,2.796354,0.0,1099511627776.0,570425344.0,1927.5294117647059
32768,4096,11008,7.593372,7.593372,0.0,7.593372,7.593372,1,389.146917,7.593372,7.593372,0.0,2954937499648.0,1080033280.0,2735.9689320388347
32768,12288,4096,8.535744,8.535744,0.0,8.535744,8.535744,1,386.437888,8.535744,8.535744,0.0,3298534883328.0,1174405120.0,2808.6857142857143
32768,22016,4096,15.205535,15.205535,0.0,15.205535,15.205535,1,388.666025,15.205535,15.205535,0.0,5909874999296.0,1891631104.0,3124.221729490022
