method,linear_group,n,k,existing_prefill_ms,fresh_prefill_ms,delta_ms,relative_delta,status
dense_bf16,mlp.down_proj,4096,11008,6.513465690612793,6.398860836029053,-0.1146048545837397,-0.017595065365725075,ok
dense_bf16,mlp.gate_proj,11008,4096,6.214899158477783,6.114396762847901,-0.10050239562988228,-0.01617120295391862,ok
dense_bf16,mlp.up_proj,11008,4096,6.189334487915039,6.099446392059326,-0.08988809585571289,-0.014523063187362639,ok
dense_bf16,self_attn.k_proj,4096,4096,2.44060480594635,2.4174304008483887,-0.023174405097961426,-0.009495353381874332,ok
dense_bf16,self_attn.o_proj,4096,4096,2.4460544109344484,2.418396782875061,-0.027657628059387207,-0.011307037135294698,ok
dense_bf16,self_attn.q_proj,4096,4096,2.43832004070282,2.4195008516311645,-0.018819189071655362,-0.0077180963768115245,ok
dense_bf16,self_attn.v_proj,4096,4096,2.4434143543243407,2.4191904067993164,-0.024223947525024325,-0.009913974468617212,ok
dense_nvfp4,mlp.down_proj,4096,11008,5.1988255977630615,5.116531181335449,-0.08229441642761248,-0.015829424334415435,ok
dense_nvfp4,mlp.gate_proj,11008,4096,2.790224003791809,2.8061856031417847,0.015961599349975764,0.005720544059647023,ok
dense_nvfp4,mlp.up_proj,11008,4096,2.7990880250930785,2.80316481590271,0.004076790809631525,0.0014564710981163085,ok
dense_nvfp4,self_attn.k_proj,4096,4096,1.9939488053321839,1.9954848289489746,0.001536023616790727,0.0007703425547752876,ok
dense_nvfp4,self_attn.o_proj,4096,4096,1.9966879963874817,1.9912927985191344,-0.005395197868347301,-0.002702073572891003,ok
dense_nvfp4,self_attn.q_proj,4096,4096,1.995948815345764,1.9969632029533386,0.0010143876075745517,0.0005082232569169498,ok
dense_nvfp4,self_attn.v_proj,4096,4096,1.9957887887954713,1.9968416094779968,0.001052820682525546,0.0005275210926307288,ok
marlin_nvfp4,mlp.down_proj,4096,11008,6.268688011169433,6.1879072189331055,-0.08078079223632795,-0.012886395381680219,ok
marlin_nvfp4,mlp.gate_proj,11008,4096,6.535795211791992,6.43273286819458,-0.10306234359741229,-0.015768906499926048,ok
marlin_nvfp4,mlp.up_proj,11008,4096,6.517891120910645,6.446220779418946,-0.07167034149169904,-0.010995940276106614,ok
marlin_nvfp4,self_attn.k_proj,4096,4096,2.3974784135818483,2.3710880041122437,-0.02639040946960458,-0.0110075691693829,ok
marlin_nvfp4,self_attn.o_proj,4096,4096,2.3979520082473753,2.3720191955566405,-0.025932812690734774,-0.010814567014495279,ok
marlin_nvfp4,self_attn.q_proj,4096,4096,2.397164821624756,2.3732256412506105,-0.02393918037414533,-0.009986455732284514,ok
marlin_nvfp4,self_attn.v_proj,4096,4096,2.396694374084473,2.3714815855026243,-0.0252127885818485,-0.01051981798533644,ok
sparse_bf16,mlp.down_proj,4096,11008,7.448684859275818,3.2431904077529907,-4.205494451522827,-0.5645955669994203,ok
sparse_bf16,mlp.gate_proj,11008,4096,6.6979999303817745,3.238054394721985,-3.4599455356597897,-0.516563985013744,ok
sparse_bf16,mlp.up_proj,11008,4096,6.698691248893738,3.2399424076080323,-3.4587488412857055,-0.5163320285670584,ok
sparse_bf16,self_attn.k_proj,4096,4096,4.808064067363739,1.2990015983581542,-3.509062469005585,-0.7298285588215141,ok
sparse_bf16,self_attn.o_proj,4096,4096,4.773497700691223,1.29475839138031,-3.478739309310913,-0.7287610736268243,ok
sparse_bf16,self_attn.q_proj,4096,4096,4.7568575739860535,1.2946943998336793,-3.462163174152374,-0.727825695914461,ok
sparse_bf16,self_attn.v_proj,4096,4096,4.768585658073425,1.2970336198806762,-3.4715520381927485,-0.7280045462358967,ok
sparse_nvfp4,mlp.down_proj,4096,11008,4.887369632720947,4.806080055236817,-0.08128957748413068,-0.016632582266726224,ok
sparse_nvfp4,mlp.gate_proj,11008,4096,2.382419204711914,2.3487871646881104,-0.03363204002380371,-0.014116759954455852,ok
sparse_nvfp4,mlp.up_proj,11008,4096,2.366819214820862,2.346992039680481,-0.019827175140381126,-0.008377139671769054,ok
sparse_nvfp4,self_attn.k_proj,4096,4096,1.8700768113136292,1.83166401386261,-0.03841279745101933,-0.020540759191616513,ok
sparse_nvfp4,self_attn.o_proj,4096,4096,1.8640352129936217,1.8348479986190795,-0.029187214374542192,-0.015658081012143447,ok
sparse_nvfp4,self_attn.q_proj,4096,4096,1.8622975945472717,1.837494397163391,-0.024803197383880704,-0.013318600344275486,ok
sparse_nvfp4,self_attn.v_proj,4096,4096,1.8624063968658446,1.8347584009170532,-0.027647995948791415,-0.014845307659659522,ok
