policy_id,quality_budget,predicted_delta_nll,raw_predicted_linear_ms,old_calibrated_e2e_ms,prefill_count_dense_bf16,prefill_count_dense_nvfp4,prefill_count_sparse_bf16,prefill_count_sparse_nvfp4,prefill_count_w4a16_ours,decode_count_dense_bf16,decode_count_dense_nvfp4,decode_count_sparse_bf16,decode_count_sparse_nvfp4,decode_count_w4a16_ours,raw_speedup_vs_dense,calibrated_speedup_vs_dense
dense_000,0.0,0.0,2970.7391067752324,5081.983536171417,128,0,0,0,0,128,0,0,0,0,1.0,1.0
dense_001,2.2,0.030334200907564755,1350.0502930017237,3039.7839760407805,0,116,0,12,0,32,0,0,0,96,2.2004655101922483,1.6718239112473166
dense_002,2.24,0.05266889153761298,1324.6208873224273,3039.7839760407805,0,105,0,23,0,32,0,0,0,96,2.2427089405031566,1.6718239112473166
dense_003,2.28,0.07227705741558006,1301.5935028580404,3039.7839760407805,0,95,1,32,0,32,0,0,0,96,2.2823862444396656,1.6718239112473166
dense_004,2.32,0.08183142578559462,1279.3784319538725,3039.7839760407805,0,85,11,32,0,32,0,0,0,96,2.322017498949319,1.6718239112473166
dense_005,2.36,0.09960921976924397,1257.1633610497045,3039.7839760407805,0,75,21,32,0,32,0,0,0,96,2.3630493846835696,1.6718239112473166
dense_006,2.4,0.1044823834648519,1237.1697972359534,3039.7839760407805,0,66,30,32,0,32,0,0,0,96,2.4012379815708127,1.6718239112473166
dense_007,2.44,0.1163291437417884,1216.994013071495,3039.7839760407805,0,46,32,50,0,32,0,0,0,96,2.4410466073514776,1.6718239112473166
dense_008,2.48,0.13920299895970656,1197.2448979191213,3039.7839760407805,0,23,41,64,0,32,0,0,0,96,2.481312814060468,1.6718239112473166
