method,policy,policy_kind,layer,linear_type,selected_modules,replaced_modules,loss,loss_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_loss
dense_bf16,none,baseline,,,0,0,1.9578884548403745,0.0,7.084352330933277,65408,128061.56805419922,1.9578884548403745
sparse_bf16,layer:0,layer,0,,7,7,1.957786281981347,-0.00010217285902758277,7.083628539377822,65408,128054.88513183594,1.9578884548403745
sparse_bf16,layer:1,layer,1,,7,7,1.9634575503213065,0.005569095480931985,7.123915829681323,65408,128425.83145141602,1.9578884548403745
sparse_bf16,layer:2,layer,2,,7,7,1.9666448479295944,0.008756393089219827,7.146658093495477,65408,128634.3062133789,1.9578884548403745
sparse_bf16,layer:3,layer,3,,7,7,1.9623485320701524,0.004460077229777815,7.1160196563160145,65408,128353.29278564453,1.9578884548403745
sparse_bf16,layer:4,layer,4,,7,7,1.9610633724123065,0.003174917571932001,7.106880308947454,65408,128269.23306274414,1.9578884548403745
sparse_bf16,layer:5,layer,5,,7,7,1.9610332607523102,0.0031448059119356664,7.1066663122058715,65408,128267.26351928711,1.9578884548403745
sparse_bf16,layer:6,layer,6,,7,7,1.965858849527318,0.007970394686943383,7.141043038653519,65408,128582.89562988281,1.9578884548403745
sparse_bf16,layer:7,layer,7,,7,7,1.9617904762932465,0.0039020214528719954,7.1120496282898005,65408,128316.79147338867,1.9578884548403745
sparse_bf16,layer:8,layer,8,,7,7,1.9620591838299177,0.004170728989543182,7.113960946407393,65408,128334.36709594727,1.9578884548403745
sparse_bf16,layer:9,layer,9,,7,7,1.9630493898447712,0.005160935004396627,7.121008722125045,65408,128399.1344909668,1.9578884548403745
sparse_bf16,layer:10,layer,10,,7,7,1.9637656930374772,0.005877238197102619,7.126111350704385,65408,128445.98645019531,1.9578884548403745
sparse_bf16,layer:11,layer,11,,7,7,1.9593877031845122,0.0014992483441376159,7.09498150032605,65408,128159.63088989258,1.9578884548403745
sparse_bf16,layer:12,layer,12,,7,7,1.962580631857049,0.004692177016674348,7.117671474647723,65408,128368.47396850586,1.9578884548403745
sparse_bf16,layer:13,layer,13,,7,7,1.9629315326825048,0.005043077842130206,7.120169509699149,65408,128391.42568969727,1.9578884548403745
sparse_bf16,layer:14,layer,14,,7,7,1.9620976112126838,0.004209156372309231,7.114234322560194,65408,128336.88055419922,1.9578884548403745
sparse_bf16,layer:15,layer,15,,7,7,1.963291163547165,0.005402708706790493,7.122730602912931,65408,128414.94842529297,1.9578884548403745
sparse_bf16,layer:16,layer,16,,7,7,1.9634886609131577,0.005600206072783109,7.124137462366626,65408,128427.86633300781,1.9578884548403745
sparse_bf16,layer:17,layer,17,,7,7,1.9639111773608482,0.0060227225204736445,7.127148163610693,65408,128455.50228881836,1.9578884548403745
sparse_bf16,layer:18,layer,18,,7,7,1.9621380089313782,0.004249554091003693,7.11452172720229,65408,128339.5228881836,1.9578884548403745
sparse_bf16,layer:19,layer,19,,7,7,1.965016855419032,0.007128400578657379,7.135032853113443,65408,128527.82247924805,1.9578884548403745
sparse_bf16,layer:20,layer,20,,7,7,1.9653144470632893,0.007425992222914735,7.137156495245435,65408,128547.28735351562,1.9578884548403745
sparse_bf16,layer:21,layer,21,,7,7,1.9651313649231674,0.007242910082792875,7.1358499289680255,65408,128535.31231689453,1.9578884548403745
sparse_bf16,layer:22,layer,22,,7,7,1.9664189614895038,0.008530506649129244,7.14504394265445,65408,128619.53143310547,1.9578884548403745
sparse_bf16,layer:23,layer,23,,7,7,1.964992806869477,0.007104352029102534,7.134861267985494,65408,128526.24951171875,1.9578884548403745
sparse_bf16,layer:24,layer,24,,7,7,1.9628793376765838,0.004990882836209298,7.119797882108069,65408,128388.01171875,1.9578884548403745
sparse_bf16,layer:25,layer,25,,7,7,1.9659352400531507,0.00804678521277613,7.14158856752259,65408,128587.89218139648,1.9578884548403745
sparse_bf16,layer:26,layer,26,,7,7,1.9647383829852139,0.006849928144839312,7.133046219773613,65408,128509.60815429688,1.9578884548403745
sparse_bf16,layer:27,layer,27,,7,7,1.9671610204207688,0.009272565580394243,7.150347954027494,65408,128668.06802368164,1.9578884548403745
sparse_bf16,layer:28,layer,28,,7,7,1.9654873350595075,0.0075988802191329086,7.13839053060247,65408,128558.59561157227,1.9578884548403745
sparse_bf16,layer:29,layer,29,,7,7,1.9671421536260856,0.009253698785711029,7.150213051153329,65408,128666.833984375,1.9578884548403745
sparse_bf16,layer:30,layer,30,,7,7,1.9845836381856243,0.026695183345249784,7.276017298927014,65408,129807.64660644531,1.9578884548403745
sparse_bf16,layer:31,layer,31,,7,7,1.9706156631738472,0.012727208333472628,7.175092569061705,65408,128894.029296875,1.9578884548403745
sparse_bf16,type:q_proj,type,,q_proj,32,32,1.9665528594164465,0.008664404576071982,7.146000713279658,65408,128628.28942871094,1.9578884548403745
sparse_bf16,type:k_proj,type,,k_proj,32,32,1.9608602570460967,0.0029718022057221294,7.1054369389411685,65408,128255.9476928711,1.9578884548403745
sparse_bf16,type:v_proj,type,,v_proj,32,32,2.0166156389941907,0.05872718415381617,7.512855643653511,65408,131902.79571533203,1.9578884548403745
sparse_bf16,type:o_proj,type,,o_proj,32,32,1.9637286294463097,0.005840174605935111,7.125847236321213,65408,128443.56219482422,1.9578884548403745
sparse_bf16,type:gate_proj,type,,gate_proj,32,32,2.0015141539377708,0.04362569909739622,7.4002527419006,65408,130915.03778076172,1.9578884548403745
sparse_bf16,type:up_proj,type,,up_proj,32,32,2.020905653791185,0.0630171989508106,7.5451551386509506,65408,132183.39700317383,1.9578884548403745
sparse_bf16,type:down_proj,type,,down_proj,32,32,2.021762668736527,0.06387421389615233,7.551624221023887,65408,132239.45263671875,1.9578884548403745
sparse_bf16,layer_type:0:q_proj,layer_type,0,q_proj,1,1,1.9578541561582083,-3.429868216620058e-05,7.084109351151292,65408,128059.3246459961,1.9578884548403745
sparse_bf16,layer_type:0:k_proj,layer_type,0,k_proj,1,1,1.9578312782392109,-5.717660116366652e-05,7.083947283325282,65408,128057.82824707031,1.9578884548403745
sparse_bf16,layer_type:0:v_proj,layer_type,0,v_proj,1,1,1.9577492006604218,-0.00013925417995275247,7.08336587394466,65408,128052.45971679688,1.9578884548403745
sparse_bf16,layer_type:0:o_proj,layer_type,0,o_proj,1,1,1.9576699047872466,-0.00021855005312798603,7.082804214531597,65408,128047.27313232422,1.9578884548403745
sparse_bf16,layer_type:0:gate_proj,layer_type,0,gate_proj,1,1,1.9576454769141987,-0.0002429779261758913,7.082631198802633,65408,128045.6753540039,1.9578884548403745
sparse_bf16,layer_type:0:up_proj,layer_type,0,up_proj,1,1,1.9577967416050384,-9.171323533618825e-05,7.083702631854203,65408,128055.56927490234,1.9578884548403745
sparse_bf16,layer_type:0:down_proj,layer_type,0,down_proj,1,1,1.9581332822601856,0.0002448274198110223,7.086086986972508,65408,128077.58172607422,1.9578884548403745
sparse_bf16,layer_type:1:q_proj,layer_type,1,q_proj,1,1,1.9580096671259333,0.00012121228555872499,7.085211093516249,65408,128069.49630737305,1.9578884548403745
sparse_bf16,layer_type:1:k_proj,layer_type,1,k_proj,1,1,1.9577147368115688,-0.00017371802880572496,7.08312175810042,65408,128050.2055053711,1.9578884548403745
sparse_bf16,layer_type:1:v_proj,layer_type,1,v_proj,1,1,1.958241323668896,0.0003528688285214798,7.08685261915207,65408,128084.64849853516,1.9578884548403745
sparse_bf16,layer_type:1:o_proj,layer_type,1,o_proj,1,1,1.9582863437219609,0.00039788888158631686,7.0871716768149895,65408,128087.59317016602,1.9578884548403745
sparse_bf16,layer_type:1:gate_proj,layer_type,1,gate_proj,1,1,1.9579775944614597,8.913962108514362e-05,7.084983855562205,65408,128067.39849853516,1.9578884548403745
sparse_bf16,layer_type:1:up_proj,layer_type,1,up_proj,1,1,1.9590647029316821,0.0011762480913075635,7.092690189574517,65408,128138.50408935547,1.9578884548403745
sparse_bf16,layer_type:1:down_proj,layer_type,1,down_proj,1,1,1.9601288578981522,0.002240403057777618,7.100241928462959,65408,128208.10833740234,1.9578884548403745
sparse_bf16,layer_type:2:q_proj,layer_type,2,q_proj,1,1,1.9585767912071512,0.0006883363667766762,7.089230426970563,65408,128106.59075927734,1.9578884548403745
sparse_bf16,layer_type:2:k_proj,layer_type,2,k_proj,1,1,1.9584313969322846,0.0005429420919100814,7.088199768381016,65408,128097.08081054688,1.9578884548403745
sparse_bf16,layer_type:2:v_proj,layer_type,2,v_proj,1,1,1.9591419300221184,0.0012534751817439016,7.093237958552254,65408,128143.55535888672,1.9578884548403745
sparse_bf16,layer_type:2:o_proj,layer_type,2,o_proj,1,1,1.9588700208645278,0.0009815660241532242,7.091309504388409,65408,128125.77032470703,1.9578884548403745
sparse_bf16,layer_type:2:gate_proj,layer_type,2,gate_proj,1,1,1.959252671952817,0.0013642171124423896,7.094023520915231,65408,128150.79876708984,1.9578884548403745
sparse_bf16,layer_type:2:up_proj,layer_type,2,up_proj,1,1,1.9592355739347156,0.0013471190943410427,7.093902228209594,65408,128149.68041992188,1.9578884548403745
sparse_bf16,layer_type:2:down_proj,layer_type,2,down_proj,1,1,1.9589538844830836,0.0010654296427090593,7.0919042322014105,65408,128131.25567626953,1.9578884548403745
sparse_bf16,layer_type:3:q_proj,layer_type,3,q_proj,1,1,1.9579832357903049,9.47809499303176e-05,7.085023824398736,65408,128067.76748657227,1.9578884548403745
