m,n,k,latency_ms,tflops,source_file
16384,12288,4096,2.835213,581.708454,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16384/targeted_profile.csv
16384,4096,4096,0.976126,563.201646,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16384/targeted_profile.csv
16384,22016,4096,5.105579,578.76636,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16384/targeted_profile.csv
16384,4096,11008,2.619211,564.089269,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16384/targeted_profile.csv
32768,12288,4096,5.718819,576.786038,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m32768/targeted_profile.csv
32768,4096,4096,1.924718,571.258628,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m32768/targeted_profile.csv
32768,22016,4096,10.273021,575.281111,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m32768/targeted_profile.csv
32768,4096,11008,5.211799,566.970726,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m32768/targeted_profile.csv
16,12288,4096,0.055856,28.835254,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16/targeted_profile.csv
16,4096,4096,0.05595,9.595479,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16/targeted_profile.csv
16,22016,4096,0.056509,51.065471,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16/targeted_profile.csv
16,4096,11008,0.108228,13.331471,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16/targeted_profile.csv
