name,module_name,module_index,layer,module_type,module_family,n,k,selected_method,backend,quality_cost,latency_cost
backbone.dino.model.layer.0.base_model.model.attention.k_proj.base_layer,backbone.dino.model.layer.0.base_model.model.attention.k_proj.base_layer,1,0,k_proj,attention,1280,1280,dense_bf16,dense_bf16,1.0223806121729276e-06,0.0828736
backbone.dino.model.layer.0.base_model.model.attention.v_proj.base_layer,backbone.dino.model.layer.0.base_model.model.attention.v_proj.base_layer,2,0,v_proj,attention,1280,1280,dense_bf16,dense_bf16,1.6851559527264395e-06,0.0847728
backbone.dino.model.layer.0.base_model.model.attention.q_proj.base_layer,backbone.dino.model.layer.0.base_model.model.attention.q_proj.base_layer,3,0,q_proj,attention,1280,1280,sparse_bf16,sparse_bf16,9.911225297085122e-07,0.084616
backbone.dino.model.layer.0.base_model.model.attention.o_proj,backbone.dino.model.layer.0.base_model.model.attention.o_proj,4,0,o_proj,attention,1280,1280,sparse_bf16,sparse_bf16,1.6769622524027047e-06,0.0846816
backbone.dino.model.layer.0.base_model.model.mlp.gate_proj,backbone.dino.model.layer.0.base_model.model.mlp.gate_proj,5,0,gate_proj,mlp,5120,1280,dense_bf16,dense_bf16,1.656552552143163e-06,0.2664512
backbone.dino.model.layer.0.base_model.model.mlp.up_proj,backbone.dino.model.layer.0.base_model.model.mlp.up_proj,6,0,up_proj,mlp,5120,1280,dense_bf16,dense_bf16,1.8983273711239903e-06,0.2705168
backbone.dino.model.layer.0.base_model.model.mlp.down_proj,backbone.dino.model.layer.0.base_model.model.mlp.down_proj,7,0,down_proj,mlp,1280,5120,sparse_bf16,sparse_bf16,1.6088323890929854e-06,0.259344
backbone.dino.model.layer.1.base_model.model.attention.k_proj.base_layer,backbone.dino.model.layer.1.base_model.model.attention.k_proj.base_layer,8,1,k_proj,attention,1280,1280,dense_bf16,dense_bf16,1.9577129925791232e-06,0.082816
backbone.dino.model.layer.1.base_model.model.attention.v_proj.base_layer,backbone.dino.model.layer.1.base_model.model.attention.v_proj.base_layer,9,1,v_proj,attention,1280,1280,sparse_bf16,sparse_bf16,2.144706315844767e-06,0.0850544
backbone.dino.model.layer.1.base_model.model.attention.q_proj.base_layer,backbone.dino.model.layer.1.base_model.model.attention.q_proj.base_layer,10,1,q_proj,attention,1280,1280,dense_bf16,dense_bf16,1.2559764260801697e-06,0.0849984
backbone.dino.model.layer.1.base_model.model.attention.o_proj,backbone.dino.model.layer.1.base_model.model.attention.o_proj,11,1,o_proj,attention,1280,1280,dense_bf16,dense_bf16,1.7572212698690988e-06,0.0844464
backbone.dino.model.layer.1.base_model.model.mlp.gate_proj,backbone.dino.model.layer.1.base_model.model.mlp.gate_proj,12,1,gate_proj,mlp,5120,1280,sparse_bf16,sparse_bf16,1.986108240155335e-06,0.2695472
backbone.dino.model.layer.1.base_model.model.mlp.up_proj,backbone.dino.model.layer.1.base_model.model.mlp.up_proj,13,1,up_proj,mlp,5120,1280,dense_bf16,dense_bf16,2.7742724845057303e-06,0.2651104
backbone.dino.model.layer.1.base_model.model.mlp.down_proj,backbone.dino.model.layer.1.base_model.model.mlp.down_proj,14,1,down_proj,mlp,1280,5120,dense_bf16,dense_bf16,1.3030270920766638e-06,0.258936
backbone.dino.model.layer.2.base_model.model.attention.k_proj.base_layer,backbone.dino.model.layer.2.base_model.model.attention.k_proj.base_layer,15,2,k_proj,attention,1280,1280,dense_bf16,dense_bf16,1.7653254399823741e-06,0.0828832
backbone.dino.model.layer.2.base_model.model.attention.v_proj.base_layer,backbone.dino.model.layer.2.base_model.model.attention.v_proj.base_layer,16,2,v_proj,attention,1280,1280,dense_bf16,dense_bf16,1.9772171549153488e-06,0.0847776
backbone.dino.model.layer.2.base_model.model.attention.q_proj.base_layer,backbone.dino.model.layer.2.base_model.model.attention.q_proj.base_layer,17,2,q_proj,attention,1280,1280,dense_bf16,dense_bf16,1.839831913285084e-06,0.0844944
backbone.dino.model.layer.2.base_model.model.attention.o_proj,backbone.dino.model.layer.2.base_model.model.attention.o_proj,18,2,o_proj,attention,1280,1280,dense_bf16,dense_bf16,1.846224669347915e-06,0.0849072
backbone.dino.model.layer.2.base_model.model.mlp.gate_proj,backbone.dino.model.layer.2.base_model.model.mlp.gate_proj,19,2,gate_proj,mlp,5120,1280,dense_bf16,dense_bf16,1.7528124138700324e-06,0.2652256
backbone.dino.model.layer.2.base_model.model.mlp.up_proj,backbone.dino.model.layer.2.base_model.model.mlp.up_proj,20,2,up_proj,mlp,5120,1280,dense_bf16,dense_bf16,1.7544107132614508e-06,0.2651088
