policy_id,split,policy_kind,sample_count,token_count,avg_nll,target_delta_nll,elapsed_seconds
p00,train,uniform,100,204800,1.9755314327737294,0.0,52.59402887709439
p01,train,uniform,100,204800,2.0176340196659783,0.04210258689224888,35.58650466799736
p02,train,uniform,100,204800,2.321238457834615,0.34570702506088535,39.58619540557265
p03,train,uniform,100,204800,2.992611171470027,1.0170797386962978,38.20654098317027
p04,train,uniform,100,204800,2.0014180756726376,0.025886642898908185,42.96314902789891
p05,train,controlled,100,204800,1.9772586200291355,0.001727187255406104,47.525747153908014
p06,train,controlled,100,204800,1.9761259303844876,0.0005944976107581379,46.17067299410701
p07,train,controlled,100,204800,2.027414354242653,0.05188292146892337,55.1608567815274
p08,train,controlled,100,204800,1.983286185957696,0.007754753183966567,47.512423641979694
p09,train,controlled,100,204800,1.9748062579259886,-0.0007251748477408171,56.49323463998735
p10,train,controlled,100,204800,1.9648447590653404,-0.01068667370838905,44.41321649029851
p11,train,controlled,100,204800,2.034543396263628,0.059011963489898456,53.184520561248064
p12,train,controlled,100,204800,1.9775625980228484,0.002031165249118949,44.555341290310025
p13,train,controlled,100,204800,1.9757321326818493,0.00020069990811988347,48.66606241464615
p14,train,controlled,100,204800,1.9728653844335173,-0.0026660483402121127,47.18410993553698
p15,train,controlled,100,204800,2.027240146569204,0.05170871379547437,46.93766185455024
p16,train,controlled,100,204800,1.9772850194929958,0.0017535867192663979,47.004516296088696
p17,train,controlled,100,204800,1.978322854062239,0.0027914212885096212,48.17868048325181
p18,train,controlled,100,204800,1.9737611240631978,-0.0017703087105316317,50.09894784912467
p19,train,controlled,100,204800,2.1197292543339032,0.1441978215601738,52.12473801150918
p20,train,controlled,100,204800,1.975539025988424,7.5932146945678625e-06,51.1628782954067
p21,train,controlled,100,204800,1.9884049426378,0.012873509864070654,47.881818406283855
p22,train,controlled,100,204800,2.0686972455895174,0.09316581281578795,48.11525888182223
p23,train,controlled,100,204800,2.336573957678049,0.36104252490431943,44.42567027360201
p24,train,controlled,100,204800,1.9861520244177993,0.01062059164406981,49.274966487661004
p25,train,controlled,100,204800,1.982795055206806,0.007263622433076655,44.89915942028165
p26,train,controlled,100,204800,1.9964942762853994,0.020962843511669993,46.549124874174595
p27,train,controlled,100,204800,2.0681410362122534,0.09260960343852398,41.09845913015306
p28,train,controlled,100,204800,1.9817550387514558,0.00622360597772631,44.19522023200989
p29,train,controlled,100,204800,1.9834795778373686,0.007948145063639167,43.691522527486086
p30,train,controlled,100,204800,2.029091555982463,0.05356012320873349,45.666221998631954
p31,train,controlled,100,204800,2.104064009522459,0.12853257674872953,44.071585880592465
p32,train,controlled,100,204800,1.9800506640102427,0.00451923123651321,47.44145207107067
p33,train,controlled,100,204800,1.987122463963512,0.011591031189782663,47.79699867963791
p34,train,controlled,100,204800,2.082201632014889,0.10667019924115939,62.55652396194637
p35,train,controlled,100,204800,2.180787089907041,0.2052556571333115,46.147812090814114
p36,train,controlled,100,204800,1.9799839413548594,0.004452508581129999,47.98068084195256
p37,train,balanced_mixed,100,204800,2.008069266352416,0.03253783357868656,53.049768975004554
p38,train,balanced_mixed,100,204800,2.0107261719076175,0.03519473913388804,46.99193253926933
p39,train,balanced_mixed,100,204800,2.010931586670969,0.035400153897239495,50.18140311911702
p40,train,balanced_mixed,100,204800,2.102714850069471,0.12718341729574156,58.23870415240526
p41,train,balanced_mixed,100,204800,2.1153561547033464,0.13982472192961692,63.31644036434591
p42,train,balanced_mixed,100,204800,1.998144728847636,0.022613296073906497,56.62644637748599
p43,train,balanced_mixed,100,204800,2.000523588995339,0.02499215622160955,54.51312593370676
p44,train,balanced_mixed,100,204800,2.0840835727752167,0.10855214000148727,58.252739200368524
p45,train,balanced_mixed,100,204800,2.1247891313350937,0.14925769856136428,54.95551795139909
p46,train,balanced_mixed,100,204800,2.1347827883501265,0.15925135557639702,56.30372668243945
p47,train,balanced_mixed,100,204800,1.995309028601898,0.019777595828168515,48.12424051761627
p48,train,balanced_mixed,100,204800,2.022180652743877,0.04664921997014737,47.10729691572487
p49,train,balanced_mixed,100,204800,2.0445784280646895,0.06904699529096003,45.48747941851616
p50,train,balanced_mixed,100,204800,2.0772158776019816,0.10168444482825212,48.40480741299689
p51,train,balanced_mixed,100,204800,2.1112619183926107,0.13573048561888124,43.79751552455127
p52,train,balanced_mixed,100,204800,1.9948371800763238,0.019305747302594378,49.00783512368798
p53,train,balanced_mixed,100,204800,2.02555977292819,0.05002834015446034,45.42150457575917
p54,holdout,balanced_mixed,100,204800,2.0436299738422714,0.06809854106854196,45.47344631329179
p55,holdout,balanced_mixed,100,204800,2.054849538057232,0.07931810528350258,58.43053092435002
p56,holdout,balanced_mixed,100,204800,2.127303430674188,0.15177199790045837,54.162564339116216
p57,holdout,balanced_mixed,100,204800,1.9843716489920848,0.008840216218355401,48.47218574397266
p58,holdout,balanced_mixed,100,204800,2.0031481507133915,0.027616717939662028,66.49470058269799
p59,holdout,balanced_mixed,100,204800,2.054650028073129,0.07911859529939935,45.349398132413626
p60,holdout,balanced_mixed,100,204800,2.144132018447736,0.1686005856740067,41.94502410106361
p61,holdout,balanced_mixed,100,204800,2.11510131946766,0.13956988669393056,54.709364311769605
p62,holdout,balanced_mixed,100,204800,1.997095434954188,0.02156400218045862,53.172537345439196
p63,holdout,balanced_mixed,100,204800,2.0009138089896066,0.025382376215877134,50.0151993855834
p64,holdout,balanced_mixed,100,204800,2.035386658343063,0.05985522556933365,52.631229031831026
p65,holdout,balanced_mixed,100,204800,2.051193744652501,0.0756623118787716,49.18208662606776
p66,holdout,balanced_mixed,100,204800,2.1365303395177717,0.16099890674404227,44.985081950202584
p67,holdout,balanced_mixed,100,204800,2.005643989595054,0.03011255682132452,48.17389038391411
p68,holdout,balanced_mixed,100,204800,2.003594194606766,0.028062761833036465,62.265966733917594
