split,rows,pearson,spearman,mae,rmse
train,84,0.9827628633022196,0.9814713343480466,0.0719057573455875,0.08455662510159236
holdout,36,0.9801206789436342,0.9778350515463918,0.07680248732256423,0.0895379810580397
all,120,0.9817910227510277,0.9834945376104657,0.07337477633868052,0.08608130464615897
