split,rows,pearson,spearman,mae,rmse
train,84,0.9845671655916949,0.9820192795535261,0.02622141475038815,0.030615900893637357
holdout,36,0.9869700490335965,0.9822164948453609,0.021816290248301024,0.025729453356842038
all,120,0.9851303340311962,0.9833484099923457,0.024899877399762013,0.029235847897451005
