split,rows,pearson,spearman,mae,rmse
train,84,0.9739262973139288,0.9594520547945204,0.004404983235315485,0.007410143894931344
holdout,36,0.9680182842028534,0.9360824742268041,0.004917099044370242,0.007741203923558334
all,120,0.9722195196482165,0.9596479020249113,0.0045586179780319125,0.007510994224225331
