policy_id,quality_budget,predicted_delta_nll,raw_predicted_linear_ms,old_calibrated_e2e_ms,prefill_count_dense_bf16,prefill_count_dense_nvfp4,prefill_count_sparse_bf16,prefill_count_sparse_nvfp4,prefill_count_w4a16_ours,decode_count_dense_bf16,decode_count_dense_nvfp4,decode_count_sparse_bf16,decode_count_sparse_nvfp4,decode_count_w4a16_ours,raw_speedup_vs_dense,calibrated_speedup_vs_dense
point_000,0.0,0.0,2970.7391067752324,5081.983536171417,128,0,0,0,0,128,0,0,0,0,1.0,1.0
point_001,0,0.0,2197.922253499467,4158.733715749801,32,96,0,0,0,64,0,0,0,64,1.3516124612894334,1.2220026295324267
point_002,0.01,0.0002641524845052669,2069.7768174579383,3953.779798762962,27,101,0,0,0,59,0,0,0,69,1.435294415184261,1.2853481465410495
point_003,0.02,0.0005130713241631088,1941.6313814164098,3748.8258817761225,22,106,0,0,0,54,0,0,0,74,1.5300221943302617,1.355620051834381
point_004,0.04,0.000940329339317829,1685.3405093333524,3338.9180478024427,12,116,0,0,0,44,0,0,0,84,1.7626937051138276,1.5220450048231036
point_005,0.07,0.007969930908451316,1370.8561703756936,3039.7839760407805,0,125,0,3,0,32,0,0,0,96,2.1670684138665535,1.6718239112473166
point_006,0.1,0.04282794674349971,1336.1797080857439,3039.7839760407805,0,110,0,18,0,32,0,0,0,96,2.2233080541473074,1.6718239112473166
point_007,0.15,0.08183142578559462,1279.3784319538725,3039.7839760407805,0,85,11,32,0,32,0,0,0,96,2.322017498949319,1.6718239112473166
point_008,0.22,0.11451183908402612,1220.4901841789672,3039.7839760407805,0,50,32,46,0,32,0,0,0,96,2.4340540753907582,1.6718239112473166
point_009,0.32,0.17292649075319452,1178.0462452132233,3039.7839760407805,0,0,64,64,0,32,0,0,0,96,2.5217508385993255,1.6718239112473166
