batch_size,actual_batch_size,label,group,policy_json,forward_mean_ms,forward_p50_ms,forward_p90_ms,forward_min_ms,forward_max_ms,images_per_sec,runtime_dtype,warmup,iters,backend_counts,effective_dense_runtime,replaced_linear_count,skipped_linear_count
2,2,dense_default_amp,uncompressed,,39.116587,38.619856,39.324569,38.389599,43.713280,51.129205,float32+amp_bfloat16,5,20,{'dense_default': 224},default_amp,0,0
2,2,ours_extreme_fastest_microbench,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_015_extreme_fastest_microbench.json,46.116685,45.778959,46.518134,45.498657,49.350048,43.368252,bfloat16,5,20,"{'dense_bf16': 33, 'dense_nvfp4': 1, 'sparse_bf16': 190}",bf16_for_unreplaced_layers,191,0
2,2,ours_gate_up_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_004_gate_up_sparse_bf16_64.json,39.264424,39.010704,39.436113,38.810112,42.999199,50.936695,bfloat16,5,20,"{'dense_bf16': 160, 'sparse_bf16': 64}",bf16_for_unreplaced_layers,64,0
2,2,ours_mlp_all_attn_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_008_mlp_all_plus_attn_sparse_bf16_64.json,43.183128,42.922432,43.588667,42.622238,45.916126,46.314384,bfloat16,5,20,"{'dense_bf16': 64, 'sparse_bf16': 160}",bf16_for_unreplaced_layers,160,0
2,2,ours_mlp_sparse_bf16_96,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_006_mlp_sparse_bf16_96.json,37.373839,37.267616,37.460607,36.819679,40.674210,53.513369,bfloat16,5,20,"{'dense_bf16': 128, 'sparse_bf16': 96}",bf16_for_unreplaced_layers,96,0
2,2,uniform_dense_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_000_dense_bf16_reference.json,27.137080,27.077296,28.747946,25.172224,28.766912,73.699897,bfloat16,5,20,{'dense_bf16': 224},bf16_for_unreplaced_layers,0,0
2,2,uniform_dense_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_002_uniform_dense_nvfp4.json,67.535730,68.953056,69.864437,60.144032,74.536255,29.613954,bfloat16,5,20,{'dense_nvfp4': 224},bf16_for_unreplaced_layers,224,0
2,2,uniform_sparse_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_009_uniform_sparse_bf16.json,45.740710,45.401567,45.897920,45.102528,50.208416,43.724725,bfloat16,5,20,{'sparse_bf16': 224},bf16_for_unreplaced_layers,224,0
2,2,uniform_sparse_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_004_uniform_sparse_nvfp4.json,69.224828,69.106495,69.314812,68.750786,72.043327,28.891368,bfloat16,5,20,{'sparse_nvfp4': 224},bf16_for_unreplaced_layers,224,0
32,32,dense_default_amp,uncompressed,,102.905272,102.886192,102.982816,102.832672,103.118881,310.965604,float32+amp_bfloat16,5,20,{'dense_default': 224},default_amp,0,0
