point_index,policy_id,quality_budget,predicted_delta_nll,raw_predicted_linear_ms,calibrated_predicted_e2e_ms,prefill_count_dense_bf16,prefill_count_dense_nvfp4,prefill_count_sparse_bf16,prefill_count_sparse_nvfp4,prefill_count_w4a16_ours,decode_count_dense_bf16,decode_count_dense_nvfp4,decode_count_sparse_bf16,decode_count_sparse_nvfp4,decode_count_w4a16_ours,raw_speedup_vs_dense,calibrated_speedup_vs_dense
0,point_000,0,0.0,3197.723173490065,3436.9112383574247,128,0,0,0,0,128,0,0,0,0,1.0,1.0
1,point_001,0.05,0.02504996248836095,3024.074000860154,3309.4087924177434,123,5,0,0,0,123,0,0,0,5,1.0574222630069632,1.0385272578690807
2,point_002,0.1,0.04388842406483033,2850.424828230243,3128.0222131024025,118,10,0,0,0,118,0,0,0,10,1.1218409065975794,1.0987489871271288
3,point_003,0.2,0.08231093162718635,2572.5861520223852,3110.5317531516807,110,18,0,0,0,110,0,0,0,18,1.2429994505631003,1.1049272314532868
4,point_004,0.35,0.1701548966049415,2328.801835324396,3023.310698851795,101,27,0,0,0,101,0,0,0,27,1.3731194835839824,1.136803848728716
5,point_005,0.5,0.18209453546423746,2151.775287613917,2959.9742121593176,86,42,0,0,0,86,0,0,0,42,1.4860860201791748,1.1611287774869428
6,point_006,0.75,0.32585281286301243,1861.4593665425807,2926.3356253504753,75,53,0,0,0,75,0,0,0,53,1.7178581659987675,1.1744760951491338
7,point_007,1.0,0.4651628378621401,1687.6358885234229,2926.3356253504753,60,68,0,0,0,60,0,0,0,68,1.894794484542442,1.1744760951491338
8,point_008,1.5,0.5802549207460563,1502.596006755701,2926.3356253504753,13,115,0,0,0,13,0,0,0,115,2.1281323516853763,1.1744760951491338
9,point_009,2.0,0.9301706654200476,1476.9324559028694,2926.3356253504753,0,128,0,0,0,0,0,0,0,128,2.165111316167301,1.1744760951491338
