method,layer,modules,mean_output_rel_mse,median_output_rel_mse,mean_quality_cost,median_quality_cost,sum_quality_cost
dense_nvfp4,0,7,0.006034431595613627,0.007263334732159616,5.293511766635663e-05,5.8167312335702034e-05,0.00037054582366449643
dense_nvfp4,1,7,0.007493427700051161,0.005677068394525687,6.293491488073923e-05,5.2626209348293354e-05,0.00044054440416517465
dense_nvfp4,2,7,0.009302001338029846,0.00963810777189175,7.887600820067807e-05,8.263099176621555e-05,0.0005521320574047465
dense_nvfp4,3,7,0.01023608537044108,0.011423260783985902,8.764207880486823e-05,9.752965046505678e-05,0.0006134945516340776
dense_nvfp4,4,7,0.009303653422834545,0.01080008330119975,8.05436383495262e-05,0.00010131274009333341,0.0005638054684466834
dense_nvfp4,5,7,0.009890813240765819,0.010970895597590112,8.509954063769866e-05,9.445981954956222e-05,0.0005956967844638907
dense_nvfp4,6,7,0.009916746657498197,0.011975811090658076,8.527388117361736e-05,0.00010226464893979224,0.0005969171682153215
dense_nvfp4,7,7,0.010340866556450648,0.012693400321576996,8.988254317980081e-05,0.00010933029224794004,0.0006291778022586057
dense_nvfp4,8,7,0.010649173206358099,0.013475711205031988,9.123214259013758e-05,0.00011453531891576873,0.0006386249981309632
dense_nvfp4,9,7,0.01065905791994896,0.013895801212152845,9.145328864645577e-05,0.00011772396431834742,0.0006401730205251904
dense_nvfp4,10,7,0.010757586829306593,0.013344626937012301,9.248008336374465e-05,0.00011288901394107062,0.0006473605835462126
dense_nvfp4,11,7,0.011431944495781964,0.014229710833631932,9.819573282876531e-05,0.00011675962302068009,0.0006873701298013572
dense_nvfp4,12,7,0.011789997758193144,0.014809931515426552,0.00010168157518583613,0.00011730952638741476,0.0007117710263008529
dense_nvfp4,13,7,0.011424507252645282,0.014919819804823467,9.811799330518643e-05,0.00012466022368502354,0.000686825953136305
dense_nvfp4,14,7,0.011918525804470134,0.015350380605656359,0.00010265859740566601,0.00012377160441563693,0.0007186101818396621
dense_nvfp4,15,7,0.011534545075038793,0.014909658770225351,9.969933426213721e-05,0.00011710312175725686,0.0006978953398349604
dense_nvfp4,16,7,0.011120149451301487,0.011788581646730897,9.49204252384883e-05,0.00010715619128929695,0.000664442976669418
dense_nvfp4,17,7,0.012151142467088594,0.015579753042786143,0.0001028286572903543,0.00012356985961307142,0.0007198006010324801
dense_nvfp4,18,7,0.011671564676532973,0.011531000440424918,9.947335944591876e-05,0.00010479435749417139,0.0006963135161214313
dense_nvfp4,19,7,0.011189162403356878,0.012395781687282642,9.683291584611442e-05,0.0001139451119062505,0.0006778304109228009
dense_nvfp4,20,7,0.011694299124480698,0.012751302230613094,0.00010048633805943265,0.0001082295244405392,0.0007034043664160285
dense_nvfp4,21,7,0.01160851825571961,0.011779167461549521,9.948770404071016e-05,0.00010768672033224027,0.0006964139282849711
dense_nvfp4,22,7,0.011200433218518324,0.012500338737369903,9.581493107766015e-05,0.0001139130659794589,0.0006707045175436211
dense_nvfp4,23,7,0.012426232169565005,0.013254763108947937,0.00010688297827812399,0.00011452084512884402,0.000748180847946868
dense_nvfp4,24,7,0.011328999521791087,0.012781981369559199,9.997444113070167e-05,0.00011997477514583767,0.0006998210879149117
dense_nvfp4,25,7,0.012296384479574814,0.012576635582873667,0.0001061337751545246,0.00010868223203066627,0.0007429364260816721
dense_nvfp4,26,7,0.011422655296254908,0.010849057571251703,9.908156016306197e-05,0.00010039474893827511,0.0006935709211414338
dense_nvfp4,27,7,0.011084746335330605,0.009833417719126658,9.521370888571927e-05,9.021181786711063e-05,0.000666495962200035
dense_nvfp4,28,7,0.010848532231120412,0.009756671950323705,9.362297845035239e-05,8.44609971645133e-05,0.0006553608491524668
dense_nvfp4,29,7,0.01026857798455473,0.007902835324419481,8.752964416915374e-05,7.20063116101615e-05,0.0006127075091840761
