name,module_name,module_index,layer,module_type,module_family,n,k,selected_method,backend,quality_cost,latency_cost
model.language_model.layers.0.self_attn.q_proj,model.language_model.layers.0.self_attn.q_proj,1,0,q_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,2.7072537016832807e-06,1.8060494999999999
model.language_model.layers.0.self_attn.k_proj,model.language_model.layers.0.self_attn.k_proj,2,0,k_proj,attention,4096,4096,dense_nvfp4,dense_nvfp4,5.738355633712693e-06,1.969835
model.language_model.layers.0.self_attn.v_proj,model.language_model.layers.0.self_attn.v_proj,3,0,v_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,8.680609489583412e-05,1.8060494999999999
model.language_model.layers.0.self_attn.o_proj,model.language_model.layers.0.self_attn.o_proj,4,0,o_proj,attention,4096,4096,dense_nvfp4,dense_nvfp4,9.427115287136795e-05,1.969835
model.language_model.layers.0.mlp.gate_proj,model.language_model.layers.0.mlp.gate_proj,5,0,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.00048410049433236145,2.5708457841501398
model.language_model.layers.0.mlp.up_proj,model.language_model.layers.0.mlp.up_proj,6,0,up_proj,mlp,11008,4096,dense_nvfp4,dense_nvfp4,0.000171689714056877,3.0619853161530486
model.language_model.layers.0.mlp.down_proj,model.language_model.layers.0.mlp.down_proj,7,0,down_proj,mlp,4096,11008,dense_bf16,dense_bf16,0.0,7.019237382643977
model.language_model.layers.1.self_attn.q_proj,model.language_model.layers.1.self_attn.q_proj,8,1,q_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,2.441358
model.language_model.layers.1.self_attn.k_proj,model.language_model.layers.1.self_attn.k_proj,9,1,k_proj,attention,4096,4096,dense_nvfp4,dense_nvfp4,4.227460096665313e-05,1.969835
model.language_model.layers.1.self_attn.v_proj,model.language_model.layers.1.self_attn.v_proj,10,1,v_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0002064912559303468,1.257995
