method,variant,rows,raw_count_baseline_rmse,proxy_rmse,residual_pearson,residual_spearman,residual_mae,residual_rmse
dense_nvfp4,dense_calibrated_reference,24,0.009872895522373198,0.009639003597920562,0.225709687399548,0.23565217391304347,0.007534864181219436,0.009639003597920562
dense_nvfp4,final_layer_type,24,0.009872895522373198,0.0414923345685281,0.04917094263121146,-0.13826086956521738,0.03640059693577274,0.0414923345685281
dense_nvfp4,local_layer,24,0.009872895522373198,0.04132188265256839,0.04050786338771758,-0.14173913043478262,0.036368199825456096,0.0413218826525684
dense_nvfp4,local_only,24,0.009872895522373198,0.04057552255272955,0.054892137851141304,-0.14608695652173911,0.035785583309720564,0.04057552255272955
dense_nvfp4,local_type,24,0.009872895522373198,0.04090531649594698,0.058625187553139745,-0.12956521739130433,0.03589502919106684,0.04090531649594698
sparse_bf16,final_layer_type,24,0.015005537644874759,0.05120840408824913,-0.34141452801959454,-0.3582608695652174,0.043085504913852914,0.05120840408824913
sparse_bf16,local_layer,24,0.015005537644874759,0.050188805094280725,-0.31125589764526057,-0.35391304347826086,0.04264952597594597,0.050188805094280725
sparse_bf16,local_only,24,0.015005537644874759,0.04664266136036853,-0.3571018204694899,-0.4034782608695652,0.039234032532978656,0.04664266136036853
sparse_bf16,local_type,24,0.015005537644874759,0.04810564341606942,-0.37263563127400673,-0.408695652173913,0.04002220040840311,0.04810564341606942
sparse_nvfp4,final_layer_type,24,0.06413423853421864,0.06400508895410423,0.3038711033246027,0.13478260869565217,0.04995963107427547,0.06400508895410423
sparse_nvfp4,local_layer,24,0.06413423853421864,0.06841519312688578,0.09024949917936897,-0.1034782608695652,0.053207883485916346,0.06841519312688578
sparse_nvfp4,local_only,24,0.06413423853421864,0.06710555343125935,0.03068778202892464,-0.2808695652173913,0.05117662832847608,0.06710555343125935
sparse_nvfp4,local_type,24,0.06413423853421864,0.0648749346282418,0.20227627733740797,0.029565217391304348,0.04962514386296395,0.0648749346282418
