batch,best_uniform_method,checkpoint,e2e_mean_ms,e2e_median_ms,input_seq,method,module_count,output_seq,predicted_linear_latency_ms,repeats,scenario,speed_protocol,speedup_vs_best_uniform,speedup_vs_dense,status,total_tokens_per_s,tpot_ms,ttft_median_ms
,sparse_nvfp4,,634.0010650455952,648.0186954140663,,ours_max_speed,128,,380.32433098546716,5,prefill_only,baseline_aligned,0.8780759274351402,1.764137977115581,,,0.0,648.0186954140663
16,sparse_bf16,/home/agent/wja/project/my/cospaq/fake/artifacts/exports/vllm/ours/llama3.1-8b-instruct/max_speed/prefill_decode/checkpoint,2548.0029728263617,2539.233916439116,2048,ours_max_speed,128,80,1554.4098752984924,,prefill_decode,,1.1897150599462112,1.4292938740280694,OK,13362.621772074464,12.94609011870019,1516.492797061801
