candidate,prefill_backend,decode_backend,supported,reason,prefill_ms,prefill_first_ms,prefill_steady_ms,decode_ms,decode_first_ms,decode_steady_ms,total_ms,weighted_total_ms,online_conversion_ms,model,scenario,linear_group,n,k,count
dense_bf16,dense_bf16,dense_bf16,True,,6.471120071411133,6.731423854827881,6.471120071411133,0.08661093836417422,0.11184000223875046,0.08651200085878372,28.64352029263973,916.0677851051092,0.0,Llama-2-7B,normal_02,mlp.down_proj,4096,11008,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,3.27881281375885,42.023807525634766,3.27881281375885,0.36553938130964525,38.876705169677734,0.21451520174741745,96.85689442902803,1939.6377274349331,0.0,Llama-2-7B,normal_02,mlp.down_proj,4096,11008,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,5.127212810516357,5.462687969207764,5.127212810516357,0.20661237539025024,0.233024001121521,0.2065088003873825,58.019980910420415,1856.1528930693864,0.0,Llama-2-7B,normal_02,mlp.down_proj,4096,11008,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,4.810041522979736,5.14031982421875,4.810041522979736,0.244596623146208,0.3526720106601715,0.24417279809713363,67.42677704840898,2154.6236682608724,0.0,Llama-2-7B,normal_02,mlp.down_proj,4096,11008,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,6.260950374603271,6.260128021240234,6.260950374603271,0.04221506304747891,0.05951999872922897,0.0421472005546093,17.068006514757872,545.6368293754756,0.0,Llama-2-7B,normal_02,mlp.down_proj,4096,11008,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,5.1367103099823,5.453887939453125,5.1367103099823,0.05573187490517739,1.1656639575958252,0.05137920007109642,19.40407028570771,631.0799332857132,0.0,Llama-2-7B,normal_02,mlp.down_proj,4096,11008,32
dense_bf16,dense_bf16,dense_bf16,True,,6.180748796463012,6.178431987762451,6.180748796463012,0.08059018761559855,0.11766400188207626,0.0804448001086712,26.811836826056243,856.8226663701237,0.0,Llama-2-7B,normal_02,mlp.gate_proj,11008,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,3.2744288206100465,41.17273712158203,3.2744288206100465,0.2872146190638887,37.89875030517578,0.1397184006869793,76.80137130096554,1325.012200892717,0.0,Llama-2-7B,normal_02,mlp.gate_proj,11008,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,2.8010047912597655,2.8240320682525635,2.8010047912597655,0.200795000360813,0.24195200204849243,0.20063360035419464,54.20452488362789,1733.2869531005622,0.0,Llama-2-7B,normal_02,mlp.gate_proj,11008,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,2.384227180480957,2.446176052093506,2.384227180480957,0.24992962353280745,0.7093440294265747,0.24812799841165542,66.36621080487967,2109.482997666299,0.0,Llama-2-7B,normal_02,mlp.gate_proj,11008,4096,32
