candidate,prefill_backend,decode_backend,supported,reason,prefill_ms,prefill_first_ms,prefill_steady_ms,decode_ms,decode_first_ms,decode_steady_ms,total_ms,weighted_total_ms,online_conversion_ms,timing_mode,model,scenario,linear_group,n,k,count
dense_bf16,dense_bf16,dense_bf16,True,,6.4635968685150145,6.797152042388916,6.4635968685150145,0.08803206167067401,0.1329279989004135,0.08785599917173385,28.999804656207562,926.5965170070529,0.0,warm_e2e_aligned,Llama-2-7B,normal_02,mlp.down_proj,4096,11008,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,3.280848002433777,42.24483108520508,3.280848002433777,0.3692185685795266,38.3587532043457,0.22024000138044358,97.80080155879259,1947.33174058944,0.0,warm_e2e_aligned,Llama-2-7B,normal_02,mlp.down_proj,4096,11008,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,5.128694343566894,5.477344036102295,5.128694343566894,0.2248830639582593,0.25830399990081787,0.2247520014643669,62.69875871688127,2005.3201669886707,0.0,warm_e2e_aligned,Llama-2-7B,normal_02,mlp.down_proj,4096,11008,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,4.807046365737915,5.186304092407227,4.807046365737915,0.2664151248172857,0.39103999733924866,0.2659263998270035,73.00931831896305,2332.419664683938,0.0,warm_e2e_aligned,Llama-2-7B,normal_02,mlp.down_proj,4096,11008,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,6.260876798629761,6.264416217803955,6.260876798629761,0.045617562253028154,0.05907199904322624,0.045564799755811694,17.938972735404967,573.6284043550492,0.0,warm_e2e_aligned,Llama-2-7B,normal_02,mlp.down_proj,4096,11008,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,5.1349663734436035,5.47811222076416,5.1349663734436035,0.058448874973692,1.2394239902496338,0.05381760001182556,20.097878366708755,643.1321077346802,0.0,warm_e2e_aligned,Llama-2-7B,normal_02,mlp.down_proj,4096,11008,32
dense_bf16,dense_bf16,dense_bf16,True,,6.183542346954345,6.18723201751709,6.183542346954345,0.08121818750805687,0.13155199587345123,0.081020800024271,26.975398349016906,861.6462800972163,0.0,warm_e2e_aligned,Llama-2-7B,normal_02,mlp.gate_proj,11008,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,3.276809644699097,41.11017608642578,3.276809644699097,0.3063300046342192,38.301025390625,0.15733119919896127,81.69729083105922,1431.858786659688,0.0,warm_e2e_aligned,Llama-2-7B,normal_02,mlp.gate_proj,11008,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,2.8343136072158814,2.8292160034179688,2.8343136072158814,0.24149037161259912,0.25760000944137573,0.2414271965622902,64.65584874004125,2068.4858024820687,0.0,warm_e2e_aligned,Llama-2-7B,normal_02,mlp.gate_proj,11008,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,2.388332796096802,2.458944082260132,2.388332796096802,0.27315206499770284,0.6999359726905823,0.2714784026145935,72.31526143550873,2300.8061812639235,0.0,warm_e2e_aligned,Llama-2-7B,normal_02,mlp.gate_proj,11008,4096,32
