timestamp,model,head,method,task,speed_scope,runtime_dtype,device,batch_size,input_c,input_h,input_w,warmup,iters,hidden_size,num_register_tokens,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_min_ms,latency_max_ms,images_per_sec,backbone_path,head_path,cutlass_sparse_bf16_module_count,torch_version,cuda_version,checkpoint_path,compression_method,sparsity,nvfp4_group_size,calib_samples,checkpoint_format,runtime_checkpoint_path,source_checkpoint_path,packed_checkpoint_file_size_bytes,runtime_checkpoint_loader_mode,storage_checkpoint_path,storage_checkpoint_format,storage_checkpoint_file_size_bytes,kernel_backend,sparse_backend,sparse_pattern,sparse_prune_on_convert,token_pad_multiple,replaced_linear_count,skipped_linear_count,nvfp4_scale_rule
2026-05-17T17:48:17,facebook/dinov3-vit7b16-pretrain-lvd1689m,dinov3_vit7b16_imagenet1k_linear_head,sparse_bf16_cutlass,forward_speed,random_input_classifier_forward_only,bfloat16,NVIDIA GeForce RTX 5090,8,3,256,256,5,20,4096,4,8780.149463,8773.583008,8813.368457,8747.123047,8862.497070,0.911,/data/home/scxj523/run/wja/data/models/facebook/dinov3-vit7b16-pretrain-lvd1689m,/data/home/scxj523/run/wja/data/models/facebook/dinov3_vit7b16_imagenet1k_linear_head/dinov3_vit7b16_imagenet1k_linear_head-90d8ed92.pth,280,2.9.0+cu128,12.8,artifacts/checkpoints/dinov3_vit7b16/semi_structured_sparse/model.pt,semi_structured_sparse,0.5,16,16,cutlass_runtime_packed_v1,artifacts/checkpoints/dinov3_vit7b16/cutlass_sparse_bf16_runtime/model.pt,artifacts/checkpoints/dinov3_vit7b16/semi_structured_sparse/model.pt,7576814407,meta_skeleton_assign,,,,cutlass_sparse_bf16_cusparselt,cusparselt_bf16,2to4,False,8,280,280,
2026-05-17T18:58:11,facebook/dinov3-vit7b16-pretrain-lvd1689m,dinov3_vit7b16_imagenet1k_linear_head,sparse_bf16_cutlass,forward_speed,random_input_classifier_forward_only,bfloat16,NVIDIA GeForce RTX 5090,8,3,256,256,1,2,4096,4,8619.924805,8619.924805,8625.312305,8613.190430,8626.659180,0.928,/data/home/scxj523/run/wja/data/models/facebook/dinov3-vit7b16-pretrain-lvd1689m,/data/home/scxj523/run/wja/data/models/facebook/dinov3_vit7b16_imagenet1k_linear_head/dinov3_vit7b16_imagenet1k_linear_head-90d8ed92.pth,280,2.9.0+cu128,12.8,artifacts/checkpoints/dinov3_vit7b16/semi_structured_sparse/model.pt,semi_structured_sparse,0.5,16,16,cutlass_runtime_packed_v1,artifacts/checkpoints/dinov3_vit7b16/cutlass_sparse_bf16_runtime/model.pt,artifacts/checkpoints/dinov3_vit7b16/semi_structured_sparse/model.pt,7576780743,meta_skeleton_assign,,,,cutlass_sparse_bf16_cusparselt,cusparselt_bf16,2to4,False,8,280,0,
2026-05-18T00:40:41,facebook/dinov3-vit7b16-pretrain-lvd1689m,dinov3_vit7b16_imagenet1k_linear_head,sparse_bf16_cutlass,forward_speed,random_input_classifier_forward_only,bfloat16,NVIDIA GeForce RTX 5090,8,3,256,256,10,50,4096,4,103.161335,103.066463,103.405521,102.996162,103.479485,77.548,/data/home/scxj523/run/wja/data/models/facebook/dinov3-vit7b16-pretrain-lvd1689m,/data/home/scxj523/run/wja/data/models/facebook/dinov3_vit7b16_imagenet1k_linear_head/dinov3_vit7b16_imagenet1k_linear_head-90d8ed92.pth,280,2.9.0+cu128,12.8,artifacts/checkpoints/dinov3_vit7b16/semi_structured_sparse/model.pt,semi_structured_sparse,0.5,16,16,cutlass_runtime_packed_v1,artifacts/checkpoints/dinov3_vit7b16/cutlass_sparse_bf16_runtime/model.pt,artifacts/checkpoints/dinov3_vit7b16/semi_structured_sparse/model.pt,7576780743,meta_skeleton_assign,,,,cutlass_sparse_bf16_cusparselt,cusparselt_bf16,2to4,False,8,280,0,
